delta_mass	delta_mass_round	annotation	annotation_deltas	order	comment
42.0105	42	C2:0	C2:0 (42 Da)	1	even
56.0261	56	C3:0	C3:0 (56 Da)	2	odd
70.0417	70	C4:0	C4:0 (70 Da)	3	even
84.0573	84	C5:0	C5:0 (84 Da)	4	odd
98.0729	98	C6:0	C6:0 (98 Da)	5	even
112.0885	112	C7:0	C7:0 (112 Da)	6	odd
126.1041	126	C8:0	C8:0 (126 Da)	7	even
140.1197	140	C9:0	C9:0 (140 Da)	8	odd
154.1353	154	C10:0	C10:0 (154 Da)	9	even
168.1509	168	C11:0	C11:0 (168 Da)	10	odd
182.1665	182	C12:0	C12:0 (182 Da)	11	even
196.1821	196	C13:0	C13:0 (196 Da)	12	odd
210.1977	210	C14:0	C14:0 (210 Da)	13	even
224.2133	224	C15:0	C15:0 (224 Da)	14	odd
238.2289	238	C16:0	C16:0 (238 Da)	15	even
252.2445	252	C17:0	C17:0 (252 Da)	16	odd
266.2601	266	C18:0	C18:0 (266 Da)	17	even
280.2757	280	C19:0	C19:0 (280 Da)	18	odd
294.2913	294	C20:0	C20:0 (294 Da)	19	even
308.3069	308	C21:0	C21:0 (308 Da)	20	odd
322.3225	322	C22:0	C22:0 (322 Da)	21	even
336.3381	336	C23:0	C23:0 (336 Da)	22	odd
350.3537	350	C24:0	C24:0 (350 Da)	23	even
364.3693	364	C25:0	C25:0 (364 Da)	24	odd
378.3849	378	C26:0	C26:0 (378 Da)	25	even
392.4005	392	C27:0	C27:0 (392 Da)	26	odd
406.4161	406	C28:0	C28:0 (406 Da)	27	even
420.4317	420	C29:0	C29:0 (420 Da)	28	odd
434.4473	434	C30:0	C30:0 (434 Da)	29	even
54.0115	54	C3:1	C3:1 (54 Da)	30	odd
68.0271	68	C4:1	C4:1 (68 Da)	31	even
82.0427	82	C5:1	C5:1 (82 Da)	32	odd
96.0583	96	C6:1	C6:1 (96 Da)	33	even
110.0739	110	C7:1	C7:1 (110 Da)	34	odd
124.0895	124	C8:1	C8:1 (124 Da)	35	even
138.1051	138	C9:1	C9:1 (138 Da)	36	odd
152.1207	152	C10:1	C10:1 (152 Da)	37	even
166.1363	166	C11:1	C11:1 (166 Da)	38	odd
180.1519	180	C12:1	C12:1 (180 Da)	39	even
194.1675	194	C13:1	C13:1 (194 Da)	40	odd
208.1831	208	C14:1	C14:1 (208 Da)	41	even
222.1987	222	C15:1	C15:1 (222 Da)	42	odd
236.2143	236	C16:1	C16:1 (236 Da)	43	even
250.2299	250	C17:1	C17:1 (250 Da)	44	odd
264.2455	264	C18:1	C18:1 (264 Da)	45	even
278.2611	278	C19:1	C19:1 (278 Da)	46	odd
292.2767	292	C20:1	C20:1 (292 Da)	47	even
306.2923	306	C21:1	C21:1 (306 Da)	48	odd
320.3079	320	C22:1	C22:1 (320 Da)	49	even
334.3235	334	C23:1	C23:1 (334 Da)	50	odd
348.3391	348	C24:1	C24:1 (348 Da)	51	even
362.3547	362	C25:1	C25:1 (362 Da)	52	odd
376.3703	376	C26:1	C26:1 (376 Da)	53	even
390.3859	390	C27:1	C27:1 (390 Da)	54	odd
404.4015	404	C28:1	C28:1 (404 Da)	55	even
418.4171	418	C29:1	C29:1 (418 Da)	56	odd
432.4327	432	C30:1	C30:1 (432 Da)	57	even
80.0281	80	C5:2	C5:2 (80 Da)	58	odd
94.0437	94	C6:2	C6:2 (94 Da)	59	even
108.0593	108	C7:2	C7:2 (108 Da)	60	odd
122.0749	122	C8:2	C8:2 (122 Da)	61	even
136.0905	136	C9:2	C9:2 (136 Da)	62	odd
150.1061	150	C10:2	C10:2 (150 Da)	63	even
164.1217	164	C11:2	C11:2 (164 Da)	64	odd
178.1373	178	C12:2	C12:2 (178 Da)	65	even
192.1529	192	C13:2	C13:2 (192 Da)	66	odd
206.1685	206	C14:2	C14:2 (206 Da)	67	even
220.1841	220	C15:2	C15:2 (220 Da)	68	odd
234.1997	234	C16:2	C16:2 (234 Da)	69	even
248.2153	248	C17:2	C17:2 (248 Da)	70	odd
262.2309	262	C18:2	C18:2 (262 Da)	71	even
276.2465	276	C19:2	C19:2 (276 Da)	72	odd
290.2621	290	C20:2	C20:2 (290 Da)	73	even
304.2777	304	C21:2	C21:2 (304 Da)	74	odd
318.2933	318	C22:2	C22:2 (318 Da)	75	even
332.3089	332	C23:2	C23:2 (332 Da)	76	odd
346.3245	346	C24:2	C24:2 (346 Da)	77	even
360.3401	360	C25:2	C25:2 (360 Da)	78	odd
374.3557	374	C26:2	C26:2 (374 Da)	79	even
388.3713	388	C27:2	C27:2 (388 Da)	80	odd
402.3869	402	C28:2	C28:2 (402 Da)	81	even
416.4025	416	C29:2	C29:2 (416 Da)	82	odd
430.4181	430	C30:2	C30:2 (430 Da)	83	even
106.0447	106	C7:3	C7:3 (106 Da)	84	odd
120.0603	120	C8:3	C8:3 (120 Da)	85	even
134.0759	134	C9:3	C9:3 (134 Da)	86	odd
148.0915	148	C10:3	C10:3 (148 Da)	87	even
162.1071	162	C11:3	C11:3 (162 Da)	88	odd
176.1227	176	C12:3	C12:3 (176 Da)	89	even
190.1383	190	C13:3	C13:3 (190 Da)	90	odd
204.1539	204	C14:3	C14:3 (204 Da)	91	even
218.1695	218	C15:3	C15:3 (218 Da)	92	odd
232.1851	232	C16:3	C16:3 (232 Da)	93	even
246.2007	246	C17:3	C17:3 (246 Da)	94	odd
260.2163	260	C18:3	C18:3 (260 Da)	95	even
274.2319	274	C19:3	C19:3 (274 Da)	96	odd
288.2475	288	C20:3	C20:3 (288 Da)	97	even
302.2631	302	C21:3	C21:3 (302 Da)	98	odd
316.2787	316	C22:3	C22:3 (316 Da)	99	even
330.2943	330	C23:3	C23:3 (330 Da)	100	odd
344.3099	344	C24:3	C24:3 (344 Da)	101	even
358.3255	358	C25:3	C25:3 (358 Da)	102	odd
372.3411	372	C26:3	C26:3 (372 Da)	103	even
386.3567	386	C27:3	C27:3 (386 Da)	104	odd
400.3723	400	C28:3	C28:3 (400 Da)	105	even
414.3879	414	C29:3	C29:3 (414 Da)	106	odd
428.4035	428	C30:3	C30:3 (428 Da)	107	even
132.0613	132	C9:4	C9:4 (132 Da)	108	odd
146.0769	146	C10:4	C10:4 (146 Da)	109	even
160.0925	160	C11:4	C11:4 (160 Da)	110	odd
174.1081	174	C12:4	C12:4 (174 Da)	111	even
188.1237	188	C13:4	C13:4 (188 Da)	112	odd
202.1393	202	C14:4	C14:4 (202 Da)	113	even
216.1549	216	C15:4	C15:4 (216 Da)	114	odd
230.1705	230	C16:4	C16:4 (230 Da)	115	even
244.1861	244	C17:4	C17:4 (244 Da)	116	odd
258.2017	258	C18:4	C18:4 (258 Da)	117	even
272.2173	272	C19:4	C19:4 (272 Da)	118	odd
