Compound	# scans in cluster	Tail	Head	Carbons	Lipid class	Even/Odd	Unsaturations	Lipid databases availability
2-aminovaleric acid-C10:0	3	C10:0	2-aminovaleric acid	C10	medium	even	0	Not available
2-aminovaleric acid-C14:0	2	C14:0	2-aminovaleric acid	C14	long	even	0	Not available
2-aminovaleric acid-C16:0	215	C16:0	2-aminovaleric acid	C16	long	even	0	Not available
2-aminovaleric acid-C16:1	83	C16:1	2-aminovaleric acid	C16	long	even	1	Not available
2-aminovaleric acid-C18:1	107	C18:1	2-aminovaleric acid	C18	long	even	1	Not available
2-aminovaleric acid-C18:2	94	C18:2	2-aminovaleric acid	C18	long	even	2	Not available
2-aminovaleric acid-C18:3	24	C18:3	2-aminovaleric acid	C18	long	even	3	Not available
2-aminovaleric acid-C2:0	21	C2:0	2-aminovaleric acid	C2	short	even	0	Not available
2-aminovaleric acid-C20:4	2	C20:4	2-aminovaleric acid	C20	long	even	4	Not available
2-aminovaleric acid-C3:0	32	C3:0	2-aminovaleric acid	C3	short	odd	0	Not available
2-aminovaleric acid-C5:0	4	C5:0	2-aminovaleric acid	C5	short	odd	0	Not available
2-aminovaleric acid-C9:0	2	C9:0	2-aminovaleric acid	C9	medium	odd	0	Not available
2-phenethylamine-C10:1	3	C10:1	2-phenethylamine	C10	medium	even	1	LIPIDMAPS
2-phenethylamine-C10:2	14	C10:2	2-phenethylamine	C10	medium	even	2	LIPIDMAPS
2-phenethylamine-C10:3	2	C10:3	2-phenethylamine	C10	medium	even	3	Not available
2-phenethylamine-C10:4	4	C10:4	2-phenethylamine	C10	medium	even	4	Not available
2-phenethylamine-C14:0	4	C14:0	2-phenethylamine	C14	long	even	0	Not available
2-phenethylamine-C15:0	5	C15:0	2-phenethylamine	C15	long	odd	0	Not available
2-phenethylamine-C16:0	130	C16:0	2-phenethylamine	C16	long	even	0	Not available
2-phenethylamine-C16:1	16	C16:1	2-phenethylamine	C16	long	even	1	Not available
2-phenethylamine-C16:2	2	C16:2	2-phenethylamine	C16	long	even	2	Not available
2-phenethylamine-C17:0	2	C17:0	2-phenethylamine	C17	long	odd	0	Not available
2-phenethylamine-C17:1	2	C17:1	2-phenethylamine	C17	long	odd	1	Not available
2-phenethylamine-C18:0	77	C18:0	2-phenethylamine	C18	long	even	0	Not available
2-phenethylamine-C18:1	135	C18:1	2-phenethylamine	C18	long	even	1	Not available
2-phenethylamine-C18:2	35	C18:2	2-phenethylamine	C18	long	even	2	Not available
2-phenethylamine-C18:3	2	C18:3	2-phenethylamine	C18	long	even	3	Not available
