Compound	counts_microbeMASST	head	tail	carbons	unsaturations	even_odd
Glycine-C4:0	144	Glycine	C4:0	C4	0	even
Phenylalanine-C2:0	3917	Phenylalanine	C2:0	C2	0	even
Tyrosine-C2:0	5284	Tyrosine	C2:0	C2	0	even
Phenylalanine-C18:2	1099	Phenylalanine	C18:2	C18	2	even
Asparagine-C10:0	13	Asparagine	C10:0	C10	0	even
Lysine-C10:0	1657	Lysine	C10:0	C10	0	even
Arginine-C12:0	60	Arginine	C12:0	C12	0	even
Putrescine-C16:0	127	Putrescine	C16:0	C16	0	even
Lysine-C8:0	223	Lysine	C8:0	C8	0	even
Phenylalanine-C4:0	4730	Phenylalanine	C4:0	C4	0	even
Tyrosine-C8:0	1334	Tyrosine	C8:0	C8	0	even
Tyrosine-C10:0	1289	Tyrosine	C10:0	C10	0	even
Glutamic acid-C15:0	89	Glutamic acid	C15:0	C15	0	odd
Leucine-C17:0	28	Leucine	C17:0	C17	0	odd
Phenylalanine-C16:0	5010	Phenylalanine	C16:0	C16	0	even
Lysine-C17:0	53	Lysine	C17:0	C17	0	odd
Lysine-C2:0	109	Lysine	C2:0	C2	0	even
Phenylalanine-C10:1	492	Phenylalanine	C10:1	C10	1	even
Alanine/Sarcosine-C16:0	55	Alanine/Sarcosine	C16:0	C16	0	even
Arginine-C8:0	50	Arginine	C8:0	C8	0	even
Glutamine-C15:0	47	Glutamine	C15:0	C15	0	odd
Ornithine-C17:1	5	Ornithine	C17:1	C17	1	odd
Amylamine-C16:0	537	Amylamine	C16:0	C16	0	even
Phenylalanine-C8:0	1798	Phenylalanine	C8:0	C8	0	even
Tryptophan-C18:2	11	Tryptophan	C18:2	C18	2	even
Phenylalanine-C10:0	1774	Phenylalanine	C10:0	C10	0	even
Glutathione-C10:0	11	Glutathione	C10:0	C10	0	even
Asparagine-C13:0	75	Asparagine	C13:0	C13	0	odd
Glutamine-C16:0	110	Glutamine	C16:0	C16	0	even
Lysine-C12:0	313	Lysine	C12:0	C12	0	even
Phenylalanine-C18:1	3428	Phenylalanine	C18:1	C18	1	even
Phenylalanine-C6:0	1526	Phenylalanine	C6:0	C6	0	even
Putrescine-C14:0	17	Putrescine	C14:0	C14	0	even
Methionine-C10:0	93	Methionine	C10:0	C10	0	even
Leucine-C10:0	1187	Leucine	C10:0	C10	0	even
Glutamine-C14:0	52	Glutamine	C14:0	C14	0	even
Arginine-C10:0	386	Arginine	C10:0	C10	0	even
2-phenethylamine-C8:0	40	2-phenethylamine	C8:0	C8	0	even
Kynurenine-C2:0	114	Kynurenine	C2:0	C2	0	even
Leucine-C16:0	1500	Leucine	C16:0	C16	0	even
Tryptophan-C4:0	83	Tryptophan	C4:0	C4	0	even
Threonine/homoserine-C16:1	34	Threonine/homoserine	C16:1	C16	1	even
3-methoxytyramine-C2:0	139	3-methoxytyramine	C2:0	C2	0	even
GABA-C12:0	469	GABA	C12:0	C12	0	even
Methionine-C8:0	62	Methionine	C8:0	C8	0	even
Arginine-C12:1	9	Arginine	C12:1	C12	1	even
Asparagine-C11:0	73	Asparagine	C11:0	C11	0	odd
Asparagine-C12:0	109	Asparagine	C12:0	C12	0	even
Glutamic acid-C13:0	28	Glutamic acid	C13:0	C13	0	odd
Phenylalanine-C5:0	227	Phenylalanine	C5:0	C5	0	odd
Arginine-C6:0	177	Arginine	C6:0	C6	0	even
Threonine/homoserine-C8:0	79	Threonine/homoserine	C8:0	C8	0	even
Alanine/Sarcosine-C10:0	10	Alanine/Sarcosine	C10:0	C10	0	even
Glutamic acid-C18:0	31	Glutamic acid	C18:0	C18	0	even
Threonine/homoserine-C16:0	32	Threonine/homoserine	C16:0	C16	0	even
Leucine-C8:0	824	Leucine	C8:0	C8	0	even
Valine-C2:0	5	Valine	C2:0	C2	0	even
Glutamine-C12:0	71	Glutamine	C12:0	C12	0	even
Lysine-C15:0	142	Lysine	C15:0	C15	0	odd
