Head Synthesis	Tail Synthesis			Head RTmatch	Tail RTmatch
2-aminovaleric acid	C10:0			2-phenethylamine	C16:0
2-aminovaleric acid	C14:0			2-phenethylamine	C18:0
2-aminovaleric acid	C16:0			2-phenethylamine	C2:0
2-aminovaleric acid	C18:2			2-phenethylamine	C3:0
2-aminovaleric acid	C18:3			2-phenethylamine	C4:0
2-aminovaleric acid	C3:0			2-phenethylamine	C5:0
2-aminovaleric acid	C5:0			Cadaverine	C2:0
2-aminovaleric acid	C9:0			Cadaverine	C3:0
2-phenethylamine	C10:1			Cadaverine	C5:0
2-phenethylamine	C14:0			Cadaverine	C6:0
2-phenethylamine	C16:0			Cadaverine	C7:0
2-phenethylamine	C18:0			Cadaverine	C16:0
2-phenethylamine	C18:2			Dopamine	C2:0
2-phenethylamine	C19:1			Glutamic acid	C18:0
2-phenethylamine	C2:0			Histamine	C2:0
2-phenethylamine	C22:0			Histamine	C3:0
2-phenethylamine	C3:1			Histamine	C4:0
2-phenethylamine	C4:0			Histamine	C5:0
2-phenethylamine	C5:0			Histamine	C6:0
2-phenethylamine	C6:0			Leucine	C16:0
2-phenethylamine	C7:0			Methionine	C2:0
3-hydroxykynurenine	C2:0			Putrescine	C6:0
3-methoxytyramine	C2:0			Serotonin	C2:0
3-methoxytyramine	C22:0			Tryptophan	C3:0
5-methoxytryptamine	C2:0			Tyramine	C16:0
Alanine/Sarcosine	C10:0			Tyramine	C3:0
Alanine/Sarcosine	C11:0			Tyramine	C6:0
Alanine/Sarcosine	C12:0			Valine	C16:0
Alanine/Sarcosine	C13:0				
Alanine/Sarcosine	C13:1				
Alanine/Sarcosine	C14:0				
Alanine/Sarcosine	C14:1				
Alanine/Sarcosine	C15:0				
Alanine/Sarcosine	C15:1				
Alanine/Sarcosine	C16:0				
Alanine/Sarcosine	C16:1				
Alanine/Sarcosine	C17:0				
Alanine/Sarcosine	C17:1				
Alanine/Sarcosine	C18:0				
Alanine/Sarcosine	C18:1				
Alanine/Sarcosine	C18:2				
Alanine/Sarcosine	C19:0				
Alanine/Sarcosine	C19:1				
Alanine/Sarcosine	C20:0				
Alanine/Sarcosine	C20:2				
Alanine/Sarcosine	C21:0				
Alanine/Sarcosine	C22:1				
Alanine/Sarcosine	C4:0				
Alanine/Sarcosine	C5:0				
Alanine/Sarcosine	C6:0				
Alanine/Sarcosine	C8:0				
Aminoadipic acid	C10:0				
Aminoadipic acid	C12:0				
Aminoadipic acid	C14:0				
Aminoadipic acid	C14:1				
Aminoadipic acid	C8:0				
Amylamine	C10:0				
Amylamine	C14:0				
Amylamine	C16:0				
Amylamine	C16:1				
Amylamine	C17:0				
Amylamine	C18:0				
Amylamine	C18:1				
Amylamine	C20:0				
Amylamine	C22:0				
Amylamine	C23:0				
Amylamine	C24:0				
Amylamine	C5:0				
Amylamine	C6:0				
Amylamine	C7:0				
Amylamine	C8:0				
Arginine	C10:0				
Arginine	C11:0				
Arginine	C11:1				
Arginine	C12:0				
Arginine	C12:1				
Arginine	C13:0				
Arginine	C14:0				
Arginine	C14:1				
Arginine	C15:0				
Arginine	C16:0				
Arginine	C16:1				
Arginine	C17:0				
Arginine	C17:1				
Arginine	C18:0				
Arginine	C18:1				
Arginine	C18:2				
Arginine	C18:3				
Arginine	C2:0				
Arginine	C20:3				
Arginine	C20:4				
Arginine	C5:0				
Arginine	C6:0				
Arginine	C7:0				
Arginine	C8:0				
Arginine	C9:0				
Asparagine	C14:1				
Asparagine	C15:0				
Asparagine	C15:1				
Asparagine	C16:0				
Asparagine	C16:1				
Asparagine	C17:1				
Asparagine	C18:0				
Asparagine	C18:1				
Asparagine	C18:2				
Asparagine	C2:0				
Aspartic acid	C10:0				
Aspartic acid	C6:0				
Cadaverine	C10:0				
Cadaverine	C12:0				
Cadaverine	C16:0				
Cadaverine	C18:0				
Cadaverine	C2:0				
Cadaverine	C3:0				
Cadaverine	C4:0				
Cadaverine	C5:0				
Cadaverine	C6:0				
Cadaverine	C7:0				
Citrulline	C10:0				
Citrulline	C11:0				
Citrulline	C12:0				
Citrulline	C12:1				
Citrulline	C13:0				
Citrulline	C13:1				
Citrulline	C14:0				
Citrulline	C14:1				
Citrulline	C15:0				
Citrulline	C15:1				
Citrulline	C16:0				
Citrulline	C16:1				
Citrulline	C17:0				
Citrulline	C17:1				
Citrulline	C18:1				
Citrulline	C18:2				
Citrulline	C5:0				
Citrulline	C9:0				
Dopamine	C2:0				
Dopamine	C25:0				
GABA	C5:0				
Glutamic acid	C10:0				
Glutamic acid	C11:0				
Glutamic acid	C11:1				
Glutamic acid	C12:0				
Glutamic acid	C13:0				
Glutamic acid	C13:1				
Glutamic acid	C14:0				
Glutamic acid	C15:0				
Glutamic acid	C15:1				
Glutamic acid	C16:0				
Glutamic acid	C16:1				
Glutamic acid	C17:0				
Glutamic acid	C17:1				
Glutamic acid	C18:0				
Glutamic acid	C18:1				
Glutamic acid	C19:1				
Glutamic acid	C19:2				
Glutamic acid	C20:4				
Glutamic acid	C21:0				
Glutamic acid	C22:4				
Glutamic acid	C6:0				
Glutamic acid	C7:0				
Glutamic acid	C8:0				
Glutamic acid	C9:0				
Glutamine	C10:0				
Glutamine	C12:0				
Glutamine	C12:1				
Glutamine	C13:0				
Glutamine	C14:0				
Glutamine	C14:1				
Glutamine	C15:0				
Glutamine	C15:1				
Glutamine	C16:0				
Glutamine	C16:1				
Glutamine	C18:1				
Glutamine	C18:2				
Glutamine	C3:0				
Glutamine	C5:0				
Glutamine	C7:0				
Glutamine	C9:0				
Glutathione	C10:0				
Glycine	C16:1				
Glycine	C18:0				
Glycine	C18:1				
Glycine	C6:0				
Glycine	C8:0				
Histamine	C10:0				
Histamine	C11:0				
Histamine	C12:0				
Histamine	C12:1				
Histamine	C14:0				
Histamine	C15:0				
Histamine	C16:0				
Histamine	C16:1				
Histamine	C18:1				
Histamine	C18:2				
Histamine	C2:0				
Histamine	C20:4				
Histamine	C22:4				
Histamine	C3:0				
Histamine	C4:0				
Histamine	C5:0				
Histamine	C6:0				
Histamine	C7:0				
Histamine	C8:0				
Histidine	C10:0				
Histidine	C10:1				
Histidine	C11:0				
Histidine	C12:0				
Histidine	C14:0				
Histidine	C14:1				
Histidine	C15:0				
Histidine	C16:0				
Histidine	C16:1				
Histidine	C18:0				
Histidine	C18:1				
Histidine	C18:2				
Histidine	C18:3				
Histidine	C2:0				
Histidine	C20:4				
Histidine	C3:0				
Histidine	C4:0				
Histidine	C5:0				
Histidine	C6:0				
Histidine	C8:0				
Histidine	C9:0				
Kynurenine	C2:0				
L-DOPA	C2:0				
Leucine	C10:0				
Leucine	C10:1				
Leucine	C11:0				
Leucine	C12:0				
Leucine	C12:1				
Leucine	C13:0				
Leucine	C14:0				
Leucine	C14:1				
Leucine	C15:0				
Leucine	C15:1				
Leucine	C16:0				
Leucine	C16:1				
Leucine	C17:0				
Leucine	C17:1				
Leucine	C18:0				
