tail	adrenal gland	blood	brain	caecum	colon	duodenum	esophagus	feces	gall bladder	heart	ileum	jejunum	kidney	liver	lower digestive tract	lung	ovary	pancreas	spleen	stomach	thymus	trachea	upper digestive tract	uterine cervix	uterus	vagina	sum	even_odd
C2:0	0	6939	1	4103	6628	51	122	69070	0	2	52	26	0	2	0	0	0	0	0	110	0	0	0	14	0	334	87454	even
C18:2	0	179	0	18253	3906	8057	49	31256	84	0	5840	11184	30	303	0	0	0	56	59	4646	0	2	1169	0	0	3	85076	even
C18:1	6	190	86	14214	1675	1668	9	14748	68	10	2868	3596	56	1107	7	20	3	16	84	211	1	1	612	1	7	2	41266	even
C12:0	0	1338	0	1	0	0	834	2836	0	12577	0	0	0	0	0	7113	0	0	0	0	0	0	0	0	0	0	24699	even
C16:0	0	272	174	1438	583	845	8	3339	77	0	559	1278	19	460	0	23	2	12	30	195	1	0	59	1	2	0	9377	even
C20:4	0	0	25	816	15	259	0	26	0	0	138	223	0	1	0	0	0	4	8	0	0	0	5	0	0	0	1520	even
C4:0	0	28	0	78	43	0	6	922	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1081	even
C16:1	0	0	0	208	219	86	0	252	1	0	101	149	0	20	0	0	0	1	25	9	0	0	2	0	0	0	1073	even
C5:0	0	89	9	5	4	0	0	700	0	23	1	0	0	2	0	8	0	0	2	1	1	2	0	0	0	0	847	odd
C6:0	0	434	0	2	72	0	51	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	even
C18:0	0	0	23	12	6	72	0	183	1	0	60	85	0	0	0	0	0	1	9	4	1	0	0	0	0	0	457	even
C3:0	0	2	0	45	137	0	202	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	odd
C18:3	0	0	0	73	8	45	0	59	0	0	20	81	0	0	0	0	0	0	6	3	0	0	0	0	0	0	295	even
C14:0	0	0	0	3	11	23	0	39	0	0	22	62	0	0	0	0	0	0	12	6	0	0	0	0	0	0	178	even
C8:0	0	4	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	even
C9:1	0	0	3	0	59	0	7	0	0	3	0	0	0	2	0	14	4	1	0	0	6	1	0	3	1	9	113	odd
C15:0	0	2	0	58	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	odd
C7:0	0	1	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	odd
C20:3	0	0	0	31	16	0	0	3	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	even
C22:4	0	0	0	22	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	even
C12:1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	even
C10:3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	even
C8:2	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	even
C5:1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	odd
C7:1	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	odd
C9:4	0	12	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	odd
C10:0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	10	even
C12:3	0	0	3	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	even
C10:4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	even
C10:2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	4	even
C20:0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	even
C24:1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	even
C12:2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	even
C20:2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	even
C17:0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	odd
C19:0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	odd
C14:1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	even
C20:1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	even
C12:4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	even
C15:4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	odd
C17:1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	odd
C19:1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	odd
C18:4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	even
C9:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	odd
C11:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	even
