tail	anal region	blood	brain	cerebrospinal fluid	feces	milk	nasal cavity	oral cavity	saliva	skin	urine	vagina	sum	even_odd
C12:0	0	7738	247	0	39886	1	609	31665	2858	216443	58	0	299505	even
C18:1	0	1340	0	0	75401	2	1	5727	12	12	0	0	82495	even
C2:0	2	0	32533	0	26599	155	2	6906	10916	148	1719	84	79064	even
C18:2	0	5249	0	0	57284	0	0	2527	0	23	0	0	65083	even
C16:0	45	2108	1	111	23393	0	51	1161	4	124	13	19	27030	even
C6:0	35	32	1142	2	361	0	11	47	12	64	704	20	2430	even
C4:0	5	3	3	0	2234	0	0	7	11	1	102	4	2370	even
C3:0	6	9	0	0	1234	0	19	27	134	18	41	108	1596	odd
C5:0	27	69	0	92	935	0	12	232	5	9	76	9	1466	odd
C18:0	0	71	0	1	945	2	0	83	1	62	2	0	1167	even
C7:1	3	158	0	0	47	5	0	0	5	374	194	2	788	odd
C8:0	0	10	0	0	370	1	0	6	7	52	235	0	681	even
C14:0	1	29	0	0	277	1	1	64	23	267	0	0	663	even
C8:1	1	127	0	0	21	1	0	0	0	186	302	8	646	even
C15:0	0	0	0	0	233	0	0	264	0	108	0	0	605	odd
C16:1	0	0	0	0	315	0	0	90	0	121	0	0	526	even
C10:0	0	0	0	0	378	1	0	16	7	53	48	0	503	even
C6:1	0	41	2	0	39	0	0	0	0	0	207	2	291	even
C5:2	0	0	0	0	1	0	0	188	0	0	0	0	189	odd
C7:0	0	5	1	0	41	0	0	4	2	0	98	2	153	odd
C10:2	0	0	0	0	64	0	0	0	0	0	77	0	141	even
C22:0	0	0	0	0	141	0	0	0	0	0	0	0	141	even
C10:1	1	0	0	0	3	1	0	0	0	5	128	0	138	even
C20:4	0	0	0	0	36	0	0	53	0	0	14	2	105	even
C18:3	0	0	0	0	102	0	0	1	0	0	0	0	103	even
C8:2	0	0	0	0	2	0	0	0	0	0	96	1	99	even
C9:1	1	0	0	0	2	0	0	0	0	12	79	0	94	odd
C17:0	0	0	0	0	45	0	0	47	0	0	0	0	92	odd
C11:1	0	0	0	0	1	0	0	0	0	1	86	0	88	odd
C7:2	0	0	0	0	0	0	0	0	0	0	60	0	60	odd
