Taxa_NCBI	superkingdom	kingdom	clade	phylum	class	order	family	genus	species	strain
2160	Archaea		Methanomada group	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium		
2	Bacteria									
1938	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces viridochromogenes	
84112	Bacteria		Terrabacteria group	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Eggerthella	Eggerthella lenta	
104087	Bacteria			Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas frederiksbergensis	
1931	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces sp.	
349741	Bacteria		PVC group	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	Akkermansia muciniphila ATCC BAA-835
1498	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Hathewaya	Hathewaya histolytica	
1796621	Bacteria		Terrabacteria group	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Paraclostridium	Paraclostridium sordellii	
853	Bacteria		Terrabacteria group	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium prausnitzii	
1117	Bacteria		Cyanobacteriota/Melainabacteria group	Cyanobacteriota						
122355	Bacteria			Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas psychrophila	
1883	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces		
1813	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis		
1079985	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces chartreusis	Streptomyces chartreusis NRRL 3882
457425	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces albus	Streptomyces albus J1074
1896961	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Pseudonocardiales	Pseudonocardiaceae	Amycolatopsis	Amycolatopsis sp. AA4	
1081613	Bacteria		Terrabacteria group	Actinomycetota	Actinomycetes	Kitasatosporales	Streptomycetaceae	Streptomyces	Streptomyces albus	Streptomyces albus subsp. albus DSM 41398
1280	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus	
1396	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
985078	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans	Burkholderia multivorans CF2
32008	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia		
395019	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans	Burkholderia multivorans ATCC 17616
1423	Bacteria		Terrabacteria group	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus subtilis	
562	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	
350701	Bacteria			Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia dolosa	Burkholderia dolosa AU0158
573	Bacteria			Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	
