Compound_Name	Clostridium hathewayi DSM 13479	Clostridium sp M62 1	Ruminococcus gnavus ATCC 29149	Ruminococcus torques ATCC 27756	Ruminococcus lactaris ATCC 29176	Coprococcus eutactus ATCC 27759	Coprococcus comes ATCC 27758	Clostridium scindens ATCC 35704	Clostridium hylemonae DSM 15053	Blautia hansenii DSM 20583	Blautia hydrogenotrophica DSM 10507	Clostridium asparagiforme DSM 15981	Clostridium bolteae ATCC BAA-613	Dorea formicigenerans ATCC 27755	Dorea longicatena DSM 13814	Butyrivibrio crossotus DSM 2876	Clostridium nexile DSM 1787	Eubacterium eligens ATCC 27750	Bryantella formatexigens DSM 14469	Clostridium saccharolyticum WM1	Eubacterium hallii DSM 3353	Eubacterium rectale ATCC 33656	Roseburia inulinivorans DSM 16841	Anaerostipes caccae DSM 14662	Clostridium methylpentosum DSM 5476	Clostridium leptum DSM 753	Ruminococcus gauvreauii DSM 19829	Oscillibacter sp KLE 1728	Anaerotruncus colihominis DSM 17241	Bacteroides pectinophilus ATCC 43243	Intestinimonas butyriciproducens DSM 26588	Eubacterium ventriosum ATCC 27560	Catenibacterium mitsuokai DSM 15897	Clostridium spiroforme DSM 1552	Holdemania filiformis DSM 12042	Granulicatella adiacens ATCC 49175	Lactobacillus ruminis ATCC 25644	Acidaminococcus fermentans DSM 20731	Acidaminococcus intestini sp D21	Collinsella stercoris DSM 13279	Collinsella aerofaciens ATCC 25986	Bifidobacterium breve DSM 20213	Bifidobacterium catenulatum DSM 16992	Bifidobacterium pseudocatenulatum DSM 20438	Bacteroides cellulosilyticus DSM 14838	Bacteroides finegoldii DSM 17565	Bacteroides xylanisolvens DSMZ 18836	Bacteroides stercoris ATCC 43183	Bacteroides fragilis 3 1 12	Bacteroides thetaiotaomicron VPI-5482	Bacteroides uniformis ATCC 8492	Bacteroides caccae ATCC 43185	Bacteroides eggerthii DSM 20697	Bacteroides sp D2	Bacteroides ovatus ATCC 8483	Bacteroides rodentium DSM 26882	Bacteroides intestinalis DSM 17393	Bacteroides plebeius DSM 17135	Bacteroides dorei 5 1 36 D4	Bacteroides vulgatus ATCC 8482	Butyricimonas virosa DSM 23226	Odoribacter splanchnicus DSM 20712	Prevotella buccae D17	Prevotella buccalis ATCC 35310	Parabacteroides merdae ATCC 43184	Parabacteroides sp D13	Parabacteroides distasonis ATCC 8503	Parabacteroides johnsonii DSM 18315	Alistipes finegoldii DSM 17242	Alistipes putredinis DSM 17216	Akkermansia muciniphila ATCC BAA-835
2-phenethylamine-C2:0	0.766828349	1.082379414	3.112724038	-0.291036498	0.333711545	1.174487715	1.077946287	0.495696979	0.780808766	0.724095989	-0.287929546	0.281976147	0.347695519	0.822552994	0.679609452	0.739767673	0.988437577	0.226227876	1.094094163	0.762595727	1.107916051	0.118306383	0.573531492	0.987115012	1.008707854	1.000939726	1.779300994	1.729884626	0.51535088	1.445227801	0.172276289	0.275638527	0.57750452	0.246814809	0.356089387	0.987512229	0.411345338	11.72236868	0.837872266	0.86078734	1.818011302	0.814007662	1.022791899	1.79011666	0.160396467	0.389977919	1.819183765	0.683515384	2.141892364	0.513253296	1.999264989	0.982581948	1.409567678	0.699858919	1.070529909	0.834022815	1.819739616	1.221716281	1.623916872	0.553599481	1.090412778	1.317502593	1.08554659	1.531255178	1.356851212	0.508092932	0.614642541	0.699534302	0.995642503	0.012058247	0.569370972
Cadaverine-C2:0	1.339579668	-0.714593657	6.53366104	3.072788719	4.386756536	2.133759444	1.966680656	1.467459413	1.554634073	2.601591011	5.341542842	0.721955645	0.061868886	2.34589701	1.235073726	3.208461493	1.523109708	-1.339100282	2.514985174	3.13755298	2.039166035	0.558713821	0.940746471	1.863179106	0.443025111	2.897943907	1.840938006	-1.11740746	2.728556575	1.691612831	3.705671756	-17.29880162	1.336540098	3.003233018	0.815982003	1.834577183	3.538572652	0.599226977	5.025451702	1.427362909	0.575498621	2.290479301	4.815398867	1.932193147	2.336366691	2.049467298	0.498532975	1.704556384	1.778082422	0.099295301	1.476390965	0.762657279	1.519250841	1.129683648	1.630267666	1.862544223	1.362643333	2.076553808	1.854680595	0.849944348	0.843944502	2.067345112	5.650800438	2.58563015	1.618730962	1.920618596	1.604412733	-0.289923267	1.55753922	-17.29880162	1.215875375
Glutamic acid-C2:0	17.44316505	0	0	0	0	0	17.33726343	0	16.23002475	0	15.78106382	0	17.37150118	18.00555361	0	18.93961594	17.26070278	0	0	0	0	17.50844923	16.80739656	0	20.03518713	0	0	18.09704447	0	18.22669832	17.3752782	18.6230116	17.90518455	19.43421905	17.29463277	16.10941606	18.58488699	0	0	22.12006457	0	19.71397944	18.3367358	20.36612074	0	0	0	17.44374609	16.45736445	17.25923506	0	0	16.56011449	0	17.08427104	0	17.01654493	0	0	0	18.37453987	17.60476749	17.18769877	20.05512115	17.4918201	0	0	0	0	0	0
Methionine-C2:0	2.338829978	3.656260089	2.314799344	1.564071631	1.061846918	2.613273329	1.91045578	1.769602945	2.78318419	0.9834238	1.307659291	1.302882973	3.008176812	3.891080158	1.823972946	1.814607809	2.395525781	0.672035681	2.250662994	4.058001763	2.17868822	1.478434258	2.081978146	1.112003978	2.786138634	2.42893031	0.764281994	2.305588501	1.599545124	1.867425567	2.410362723	1.276663996	1.609752287	1.825167103	3.183827163	4.103290948	2.862566917	2.911022712	4.690916406	2.201072336	1.454420306	4.925106536	2.348783248	3.368123725	1.941324787	1.787844341	3.354699899	2.840275974	2.079441778	1.241111247	1.159168101	1.170120376	1.818984126	2.492912727	2.720960006	0.846044595	1.112206428	1.52123108	1.962338969	1.904948135	2.518955901	1.939304286	1.705169465	2.099058025	2.429301999	1.825073647	1.494307319	2.36110296	2.044819372	0.662412881	6.752172163
N-acetylputrescine-C2:0	-0.038351646	-1.062121553	-0.370568416	-0.083261458	0.186711871	-0.354436631	0.200799142	0.415481527	0.505930436	-0.034601909	0.072814705	-0.290566793	0.420144625	0.21622425	0.053714269	-0.397105555	-0.307221815	-0.422612973	-0.012754922	-0.087925355	-0.817723275	-0.406566256	-0.111333357	-0.439359184	-0.860297016	-0.615431056	-0.052231243	-1.040828634	0.292930602	-1.15966779	0.192984263	-0.94205598	-1.021750758	-0.438033305	0.499096531	-0.56935363	0.183191212	0.200281384	0.103862143	-0.23001514	0.179194115	-0.087091066	0.472941357	0.386086291	-0.486045175	-0.644437625	-0.574750546	-0.693709629	-0.351565341	-0.672169843	-0.802729896	-0.993216359	-0.520710505	-0.766500824	-0.578039067	-0.565384564	-0.533169251	-0.567090556	-0.975395034	-0.210975892	-0.21471406	0.476053135	-1.159243609	0.733764854	-0.373056169	-1.440614307	-0.667854873	-1.146467603	-0.478779896	-0.552449862	-0.185433029
Phenylalanine-C2:0	0.206002792	0.584045715	0.763033716	0.509337214	0.327463699	0.641814449	0.700922697	0.547993186	0.69646861	0.311326818	0.754531419	0.25897618	0.236006503	0.594111874	0.30170363	0.043278065	0.814246159	-0.007832692	1.698091802	0.205283196	0.846678388	0.342470583	0.601960645	0.036625483	0.600232032	0.464180092	0.055075277	0.030533296	0.529225076	0.718175714	0.039924141	0.363720109	0.468146199	0.219929965	0.641500904	0.474599198	-0.035199919	-0.042631254	0.747837565	0.703537781	0.612101759	0.641829209	0.298164352	0.208192597	0.209590431	0.444712007	0.837163546	0.170037701	0.383079073	0.123638299	0.550531362	0.415990911	0.420983239	0.512591833	0.580363245	0.3434625	-0.020557631	0.877213924	0.451457596	0.557333945	-0.162362251	0.784919104	0.72900904	1.162514066	0.94268454	0.311097691	0.149038656	0.695348325	0.470622884	0.152075909	4.301432893
Putrescine-C2:0	0.593831703	2.366174907	1.231192128	-0.032197891	-0.843778158	2.690869426	-0.313651144	-0.182214542	0.182960896	0.113100956	-0.985790719	0.412085858	0.581894584	0.222119873	0.00499684	3.008585119	0.455024972	0.075373995	-0.338809566	0.815421963	8.45786128	1.690204062	0.807427432	0.019299993	0.047839316	2.61231905	2.148256902	1.915308499	0.065359162	1.371788994	0.948399206	-0.490092724	-0.526254933	1.114956499	0.514896995	-0.066591213	0.219971854	1.795089755	0.254590111	-0.016410868	-0.754418026	-1.2306492	-0.957517626	-0.011395139	3.293727894	-0.298865623	1.47842704	2.934372684	1.940808881	0.489734268	0.771494448	0.717533378	0.407127633	1.553374936	1.371658879	1.372797118	2.204661921	0.961686941	-0.07033903	1.383398026	0.522246129	1.452077895	0.071295962	-0.694836499	1.880098997	8.656810531	7.457895268	3.488059706	2.384169761	1.149597378	0.25911825
Spermidine-C2:0	0.567886199	2.801031248	0.524191984	0.314911003	0.102750626	5.549965818	0.359304527	0.257879229	4.747003486	0.306545783	0.302091019	5.651105731	5.043604239	0.35075737	0.334350724	0.482445377	0.285916082	0.107383539	0.194049552	3.599785774	5.823331859	3.914441341	5.083552044	0.283918685	5.203254264	-0.308562642	-0.023594509	-0.098444637	3.718041355	5.198010056	0.96232744	-0.00057517	0.151042923	0.201859336	5.280864178	0.222457863	1.814212594	0.360752309	0.261821096	1.204822604	-0.129101174	0.797222905	4.209639488	0.467208968	-0.345280556	0.30359059	-0.620002135	-0.370503385	-0.169341476	-0.179842095	-0.256950932	0.000427726	-0.238668251	-0.377672526	-0.32138001	-0.089089177	-0.371048967	0.070379682	-0.210667761	-0.300722714	4.569493903	5.706626023	0.374499194	2.420083312	0.13811645	-0.439592253	0.17890138	-0.489487229	0.030927236	-0.335099175	0.151376555
Tryptamine-C2:0	0	17.56227388	20.24442586	0	0	17.17979045	15.28633557	0	14.86408707	17.50297371	0	0	0	0	0	0	14.6920064	0	0	0	18.29815976	15.01649935	17.29711285	0	0	15.34716845	0	0	0	19.73320884	0	0	0	0	0	0	0	23.16655207	0	0	18.24998417	0	0	0	17.0760049	0	0	17.3082845	18.07305295	0	18.43952201	15.96497502	18.09500452	0	15.35269488	18.31148485	15.12949252	18.62960477	17.96199692	18.03501819	0	18.76170782	0	20.00486804	14.16343387	16.35552503	0	16.92146627	16.02625639	0	14.92423654
Tyramine-C2:0	0.181637518	0.216893294	0.111217049	-0.090006733	0.084847206	-0.093027918	0.327241058	0.282020817	0.014997219	0.044615752	0.045296802	0.073119865	0.092293243	0.231738924	0.233443738	0.106218495	0.322086331	0.140519704	0.009771045	0.219790512	-0.009548823	0.086252268	0.145758357	0.261139329	0.154030013	-0.075459124	0.212952386	0.369327723	0.094455508	-0.1360418	0.169632663	0.182998784	0.138786916	0.109037135	0.15858325	0.236670585	0.206764763	1.314975718	0.360565007	0.366394603	-0.079653796	0.259225979	0.084510835	0.378917587	0.023644652	-0.14690267	0.208084701	-0.097575101	-0.047303966	-0.094753891	-0.053610487	-0.108563233	-0.187169745	0.029511181	0.080310593	-0.15661318	0.166831881	0.056653056	0.050327778	-0.253036863	0.036629999	0.839331672	0.264807794	0.772969463	0.258850338	-0.130371004	-0.083593954	0.198551545	0.124554891	-0.018302584	0.207089608
