microbe	sum
Coriobacteriia	710
Actinomycetes	7090
Clostridia	1185
Bacilli	6301
Tissierellia	206
Erysipelotrichia	100
Negativicutes	174
Deinococci	44
Cyanophyceae	630
Alphaproteobacteria	203
Betaproteobacteria	5619
Gammaproteobacteria	6676
Epsilonproteobacteria	72
Spirochaetia	221
Fusobacteriia	364
Chitinophagia	37
Bacteroidia	2141
Flavobacteriia	110
Verrucomicrobiia	495
Saccharomycetes	50
Eurotiomycetes	322
Leotiomycetes	38
Sordariomycetes	57
Dothideomycetes	83
Schizosaccharomycetes	35
Agaricomycetes	2490
Mortierellomycetes	42
Methanobacteria	35
