Compound	Group	Presence	annotation	Tail
2-aminovaleric acid-C10:0	Humans	FALSE	C10:0	Medium
2-aminovaleric acid-C10:0	Rodents	FALSE	C10:0	Medium
2-aminovaleric acid-C10:0	Microbes	TRUE	C10:0	Medium
2-aminovaleric acid-C10:0	Foods	FALSE	C10:0	Medium
2-aminovaleric acid-C10:0	Plants	FALSE	C10:0	Medium
Alanine/Sarcosine-C10:0	Humans	TRUE	C10:0	Medium
Alanine/Sarcosine-C10:0	Rodents	FALSE	C10:0	Medium
Alanine/Sarcosine-C10:0	Microbes	TRUE	C10:0	Medium
Alanine/Sarcosine-C10:0	Foods	FALSE	C10:0	Medium
Alanine/Sarcosine-C10:0	Plants	TRUE	C10:0	Medium
Aminoadipic acid-C10:0	Humans	FALSE	C10:0	Medium
Aminoadipic acid-C10:0	Rodents	FALSE	C10:0	Medium
Aminoadipic acid-C10:0	Microbes	TRUE	C10:0	Medium
Aminoadipic acid-C10:0	Foods	FALSE	C10:0	Medium
Aminoadipic acid-C10:0	Plants	FALSE	C10:0	Medium
Arginine-C10:0	Humans	TRUE	C10:0	Medium
Arginine-C10:0	Rodents	TRUE	C10:0	Medium
Arginine-C10:0	Microbes	TRUE	C10:0	Medium
Arginine-C10:0	Foods	TRUE	C10:0	Medium
Arginine-C10:0	Plants	TRUE	C10:0	Medium
Asparagine-C10:0	Humans	FALSE	C10:0	Medium
Asparagine-C10:0	Rodents	FALSE	C10:0	Medium
Asparagine-C10:0	Microbes	TRUE	C10:0	Medium
Asparagine-C10:0	Foods	FALSE	C10:0	Medium
Asparagine-C10:0	Plants	FALSE	C10:0	Medium
Cadaverine-C10:0	Humans	TRUE	C10:0	Medium
Cadaverine-C10:0	Rodents	FALSE	C10:0	Medium
Cadaverine-C10:0	Microbes	TRUE	C10:0	Medium
Cadaverine-C10:0	Foods	FALSE	C10:0	Medium
Cadaverine-C10:0	Plants	FALSE	C10:0	Medium
Citrulline-C10:0	Humans	TRUE	C10:0	Medium
