Metabolite	Log2FoldChange	MinusLog10_AdjustedPValue	Compound_Name
718	0.673348907	8.924270317	Putrescine-C2:0
614	-16.6658942	1.200526812	Histamine-C2:0
1557	-6.272437774	4.763372354	Cadaverine-C3:0
3957	0.871513047	5.237422382	Valine-C2:0
4136	-6.201875947	6.15201701	Cadaverine-C5:0
485	2.523904185	3.725564511	Spermidine-C2:0
4039	3.008392303	15.46546032	Methionine-C2:0
9983	-1.690047857	1.093610654	Phenylalanine-C2:0
840	-0.194486522	0.294211737	3-methylhistidine-C2:0
15981	0.76700713	0.494410053	Leucine-C5:0
13814	-20.2244608	3.725564511	Phenylalanine-C4:0
10645	0.785467888	0.026005709	Tyrosine-C5:0
30185	-12.7962817	0.112096111	Amylamine-C16:0
23517	0	0	Asparagine-C14:0
29852	0	0	Amylamine-C18:2
23461	4.026664675	13.28803086	Putrescine-C18:2
30388	-1.308918948	0	Amylamine-C18:1
30838	-16.20052354	0.76968114	Amylamine-C18:0
28632	-4.36168193	2.206220181	Valine-C16:0
30065	0	0	2-phenethylamine-C16:0
23805	-20.41349424	5.618249058	Spermidine-C16:1
25563	-21.62507565	4.210417936	Spermidine-C16:0
29013	-2.332607433	6.671870289	Leucine-C16:0
27931	-1.651616637	1.740640629	Valine-C18:2
28897	-1.859444417	2.347777488	Valine-C18:1
29738	0	0	2-phenethylamine-C18:2
23556	0.228136324	0.236073567	Lysine-C16:0
30215	-13.18436874	1.302524571	2-phenethylamine-C18:1
24526	-4.30671413	8.924270317	Spermidine-C18:2
26131	-6.722336545	7.963638668	Spermidine-C18:1
22498	-18.62672194	3.463147634	Spermidine-C18:1
28514	-1.372434006	0.645052394	Leucine-C18:2
25616	-17.16233086	1.706081193	Aspartic acid-C18:2
29459	-1.443138337	2.779009806	Leucine-C18:1
26934	-12.79629834	1.599247843	Aspartic acid-C18:1
30091	-5.119701569	8.518244742	Leucine-C18:0
29005	-2.485786166	4.523579139	Phenylalanine-C16:0
24489	-0.411417121	0.750167204	Lysine-C18:1
23873	-0.910579745	1.495726266	Lysine-C18:1
23840	-3.101558652	4.763372354	Arginine-C16:0
28750	-2.457671184	9.898726124	Methionine-C18:1
28944	-17.36257439	2.41536035	Leucine-C20:3
29727	-16.03019706	0.870276264	Leucine-C20:2
30179	-3.981377933	0.942201224	Leucine-C20:1
28483	-0.949119164	0.159759317	Phenylalanine-C18:2
29435	-1.199945137	1.925669691	Phenylalanine-C18:1
30085	-1.693703887	6.15201701	Phenylalanine-C18:0
26700	-1.895437249	3.729203964	Tyrosine-C18:2
27625	-1.592172429	2.65701927	Tyrosine-C18:1
29509	-5.306465839	1.928595061	Phenylalanine-C20:3
27861	-2.471266465	5.606962933	Tryptophan-C18:2
