Metabolite	Log2FoldChange	MinusLog10_AdjustedPValue	Compound_Name
718	-2.664878278	39.19540607	Putrescine-C2:0
614	-5.795734787	54.34638513	Histamine-C2:0
1557	-4.526197034	48.67724301	Cadaverine-C3:0
3957	-0.220863607	0.373940745	Valine-C2:0
4136	-1.661114286	14.37168665	Cadaverine-C5:0
485	-1.806034454	28.9342692	Spermidine-C2:0
4039	-0.120666603	0.047790967	Methionine-C2:0
9983	-1.920943486	16.64061209	Phenylalanine-C2:0
840	-0.863318728	28.38844115	3-methylhistidine-C2:0
15981	23.95227931	1.193001414	Leucine-C5:0
13814	2.81280765	8.46779174	Phenylalanine-C4:0
10645	-1.569239615	3.399641781	Tyrosine-C5:0
30185	-10.04335045	79.24406844	Amylamine-C16:0
23517	-26.69201289	4.159843811	Asparagine-C14:0
29852	-26.62837488	35.92085844	Amylamine-C18:2
23461	-4.239103288	55.31770934	Putrescine-C18:2
30388	-5.952778164	54.90362778	Amylamine-C18:1
30838	-4.251407103	34.98714198	Amylamine-C18:0
28632	1.279788131	3.507117435	Valine-C16:0
30065	-23.71650983	0.924874067	2-phenethylamine-C16:0
23805	3.317937807	13.20885324	Spermidine-C16:1
25563	2.402897352	5.194822736	Spermidine-C16:0
29013	1.408245241	12.11394152	Leucine-C16:0
27931	1.125676296	1.58855087	Valine-C18:2
28897	2.18991575	10.32461897	Valine-C18:1
29738	-23.73243029	7.285198268	2-phenethylamine-C18:2
23556	-0.003227159	0.089390236	Lysine-C16:0
30215	-6.362896822	58.31371534	2-phenethylamine-C18:1
24526	1.011043987	0.442062485	Spermidine-C18:2
26131	3.153623997	14.41270321	Spermidine-C18:1
22498	0.52173495	0.705671965	Spermidine-C18:1
28514	0.295391863	0.706361363	Leucine-C18:2
25616	-2.873620275	4.949424113	Aspartic acid-C18:2
29459	2.314602985	18.03103529	Leucine-C18:1
26934	-6.120881501	2.564604783	Aspartic acid-C18:1
30091	3.982212937	27.83266695	Leucine-C18:0
29005	2.255239377	13.39982848	Phenylalanine-C16:0
24489	1.421372962	16.07589788	Lysine-C18:1
23873	1.940827859	19.30414482	Lysine-C18:1
23840	0.44144554	0.073921837	Arginine-C16:0
28750	3.515112578	42.27497308	Methionine-C18:1
28944	1.906721705	2.851998592	Leucine-C20:3
29727	-1.182064482	12.69277764	Leucine-C20:2
30179	23.68688807	4.984168353	Leucine-C20:1
28483	-0.49312923	5.826750868	Phenylalanine-C18:2
29435	2.055363247	14.47589798	Phenylalanine-C18:1
30085	2.3136655	28.5200366	Phenylalanine-C18:0
26700	0.462292346	0.11815442	Tyrosine-C18:2
27625	2.987923513	26.18672059	Tyrosine-C18:1
29509	-0.320505318	7.813779698	Phenylalanine-C20:3
27861	-2.100099043	25.48001642	Tryptophan-C18:2
