ATTRIBUTE_ADDGroup	filename	MS_4223	MS_569	MS_5174	MS_602	MS_1099	MS_944	MS_2438	MS_1992	MS_1857	MS_1776	MS_5220	MS_7669	MS_3586	MS_1249	MS_6447	MS_563	MS_6132	MS_11854	MS_7368	MS_10884	MS_7580	MS_9949	MS_11407	MS_7462	MS_11555	MS_11946	MS_12030	MS_7689	MS_10207	MS_12333	MS_10629	MS_7416	MS_11211	MS_11734	MS_7467	MS_10199	MS_10900	MS_10614	MS_10821	MS_7822	MS_9690	MS_11436	MS_8804	MS_9006	MS_11849	MS_12229	MS_7924	MS_10549	MS_11193	MS_11322	MS_8509	MS_11711	MS_10811	MS_10857	MS_6956	MS_9150	MS_9355	MS_10074	MS_11153
-	compound	Amylamine-C5:0	Tyramine-C2:0	Amylamine-C6:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	1.06E-56	1.59E-29	1.23E-59	1.14E-43	5.05E-20	1.63E-28	1.45E-50	2.15E-24	2.21E-54	2.44E-40	3.85E-65	6.28E-65	8.28E-51	2.96E-12	2.52E-20	4.93E-32	2.50E-40	4.47E-72	6.91E-59	8.08E-70	2.33E-50	3.52E-47	1.41E-59	1.18E-34	5.95E-63	4.64E-73	5.14E-13	1.00E-64	5.16E-55	1.29E-54	1.15E-41	2.93E-49	2.18E-62	1.64E-63	2.58E-60	7.39E-58	7.54E-44	5.37E-61	3.30E-57	1.04E-53	1.06E-50	1.42E-34	4.77E-53	0.909055203	1.85E-68	7.50E-49	2.99E-43	1.53E-39	3.78E-61	2.37E-44	2.83E-45	2.50E-32	2.68E-67	1.71E-42	2.49E-44	5.10E-56	3.24E-06	4.85E-29	3.32E-42
-	adjusted p-value	3.12E-56	1.87E-29	4.82E-59	1.78E-43	5.41E-20	1.85E-28	2.95E-50	2.40E-24	5.43E-54	3.35E-40	3.79E-64	5.29E-64	1.81E-50	3.06E-12	2.75E-20	5.94E-32	3.36E-40	1.32E-70	2.40E-58	1.59E-68	4.59E-50	6.29E-47	5.21E-59	1.51E-34	3.51E-62	2.74E-71	5.41E-13	7.38E-64	1.38E-54	3.32E-54	1.62E-41	5.57E-49	1.17E-61	1.07E-62	1.09E-59	2.42E-57	1.20E-43	2.44E-60	1.02E-56	2.44E-53	2.23E-50	1.78E-34	1.08E-52	0.909055203	2.73E-67	1.38E-48	4.52E-43	2.00E-39	1.86E-60	3.99E-44	4.91E-45	3.08E-32	3.17E-66	2.52E-42	4.08E-44	1.43E-55	3.30E-06	5.62E-29	4.78E-42
Day0	Plate3_64564_Skin_Rerun_GH5_01_26551	9.836938	0	22.785316	0	5.4165077	0	7.1679516	13.977907	0	0	0	0	0	16.617832	4.5783734	0	0	0	0	0	0	4.007038	0	0	0	0	0	0	5.5813017	31.533592	8.269061	33.741455	0	13.438295	0	0	7.232422	0	3.3205547	0	0	3.9532013	23.006786	12.891968	3.6934624	0	0	16.47482	7.9044	7.8005853	0	7.4335523	0	8.685679	4.057741	4.912262	4.193349	112.38886	3.6764088
Day0	Plate1_43648_Skin_GC5_01_26141	8.048448	0	44.000393	0	0	0	4.6962585	9.164725	0	0	5.5554786	0	0	3.2627172	0	0	0	20.282135	0	11.0527315	0	3.723482	0	0	0	17.55251	0	0	0	47.466892	0	28.892761	0	5.0585647	0	4.2199907	6.6842127	3.590529	9.506683	67.421165	3.8901806	11.242527	519.05176	8.212109	6.3851166	0	0	6.0542955	0	0	36.554836	0	0	6.8345265	4.632987	196.06042	74.02127	343.4316	8.144989
Day0	Plate8_61648_Skin_GE2_01_27380	19.410599	9.110634	62.3666	0	10.654795	0	3.2759857	38.052986	8.2968025	3.5547771	0	0	0	53.64857	3.7433004	0	0	2.5543365	0	0	0	0	0	0	0	0	0	0	101.790375	15.230495	7.133063	22.85038	3.4146023	0	0	4.521085	0	0	0	4.088663	0	3.3381371	109.57079	72.68113	0	0	0	4.1039944	3.898242	3.898242	22.312038	0	0	3.804599	0	22.507872	12.194929	167.53297	0
Day0	Plate5_45162_Skin_GB3_01_26577	0	0	11.005865	0	7.558819	0	0	9.100369	0	0	0	0	0	12.155813	10.377581	0	0	6.005371	0	3.3571053	0	5.9687147	0	3.9482617	0	0	0	0	0	22.464321	7.491165	3.342886	0	8.906323	8.538471	0	4.7756004	0	3.9093056	4.2345	0	0	32.958183	9.768963	0	4.698372	0	0	7.148302	7.148302	4.743622	0	0	3.6502552	0	7.263691	7.263691	57.33509	3.8264139
Day0	Plate5_61090_Skin_GB4_01_26578	4.768799	0	22.610872	0	4.178653	0	0	9.386663	3.4026723	0	0	0	0	26.837122	0	0	0	9.514203	0	0	0	5.9243793	0	0	4.9244785	0	0	0	0	17.071611	5.4062796	6.195853	0	6.3238983	0	4.9672966	3.8622055	0	0	4.372194	0	0	66.125244	8.21287	0	0	0	4.874857	6.1210713	6.1210713	5.397892	0	0	0	0	10.353279	12.479439	31.502724	0
Day0	Plate5_65120_Skin_GF4_01_26640	9.725531	0	35.09783	0	4.171132	0	6.001003	10.775488	4.4728985	4.4728985	0	0	3.3863811	11.452122	0	0	0	3.3159156	0	0	0	3.5745316	0	0	0	0	0	0	0	17.567184	3.413545	29.006931	0	10.188224	3.62285	0	0	0	0	3.6973553	3.238389	3.3966053	5.945737	0	0	0	3.3500295	0	6.6411114	6.6411114	11.933646	0	8.527866	0	7.553753	15.913087	0	99.45598	4.275475
Day0	Plate2_44010_Skin_GD6_01_26378	12.993454	0	14.270504	0	3.0037994	0	4.5686836	39.365814	3.7431285	3.7431285	0	4.135859	3.377987	3.2544944	0	0	0	4.847869	0	0	0	5.53818	0	0	0	0	0	0	0	11.037138	4.14917	5.8404675	0	0	0	0	0	0	0	8.301379	3.963375	0	49.16902	0	0	0	3.6921148	0	3.8887215	3.8887215	0	0	0	0	0	63.960075	7.8574295	0	0
Day0	Plate9_25412_Skin_GA5_01_26941	0	0	7.22564	0	11.880246	5.1085205	12.709743	34.340668	7.078477	7.078477	0	0	0	34.81114	7.0918555	0	0	0	0	0	0	5.483315	0	0	3.9147394	0	0	0	0	15.173231	23.456867	3.367689	0	0	5.78715	0	11.221311	0	3.8049903	0	3.228641	0	75.29537	11.965156	8.763058	0	0	3.2970047	5.0901175	5.0901175	14.055849	4.4540205	0	9.982163	0	10.453772	4.9629807	139.6339	4.186038
Day0	Plate5_45392_Skin_GG10_01_26662	11.984253	0	20.382229	0	0	0	3.6087508	17.306488	5.493162	5.493162	0	0	0	10.205464	0	0	0	13.923069	0	0	0	0	0	0	0	0	0	0	5.117535	27.60624	14.219199	3.423685	0	5.530336	3.2993412	7.4056807	8.626272	9.767594	0	3.2194953	0	4.294429	88.543396	12.4335	0	4.42902	0	14.744184	7.899803	4.9515	11.12537	4.325573	3.4026551	3.958871	9.518736	19.356804	16.611279	159.03624	4.102272
Day0	Plate1_25220_Skin_GG5_01_26291	6.184943	0	28.243965	0	7.352941	0	13.170061	12.335125	0	0	0	3.34055	0	2.8000607	8.360263	0	0	48.88037	0	26.128134	0	10.996403	5.079353	0	0	8.636912	8.636912	0	0	67.79532	15.684571	11.930269	16.966303	62.101875	4.728477	0	3.971756	7.052659	7.784276	37.238476	0	15.391188	174.01118	17.785805	68.52179	39.609505	0	5.508334	0	5.9146867	16.619923	0	3.187734	13.336976	6.8029594	65.33275	65.33275	333.31888	10.679042
Day0	Plate7_60498_Skin_GA4_01_27017	28.908924	0	42.632614	0	15.606339	0	10.584615	19.880539	9.2041855	6.809423	3.7773514	0	5.3072205	22.997934	0	0	0	6.0735235	0	9.264023	0	0	0	0	0	0	0	0	8.427925	16.77766	6.7468853	26.117678	0	7.886386	5.1953893	0	7.8103	6.208397	3.618958	40.323784	0	3.8457832	162.06973	0	0	0	0	4.510391	6.1294556	5.7839394	7.178238	0	7.7192206	6.1569285	3.3006198	118.508484	69.70384	105.78829	7.5275702
