ATTRIBUTE_ADDGroup	filename	MS_4223	MS_569	MS_5174	MS_602	MS_1099	MS_944	MS_2438	MS_1992	MS_1857	MS_1776	MS_5220	MS_7669	MS_3586	MS_1249	MS_6447	MS_563	MS_6132	MS_11854	MS_7368	MS_10884	MS_7580	MS_9949	MS_11407	MS_7462	MS_11555	MS_11946	MS_12030	MS_7689	MS_10207	MS_12333	MS_10629	MS_7416	MS_11211	MS_11734	MS_7467	MS_10199	MS_10900	MS_10614	MS_10821	MS_7822	MS_9690	MS_11436	MS_8804	MS_9006	MS_11849	MS_12229	MS_7924	MS_10549	MS_11193	MS_11322	MS_8509	MS_11711	MS_10811	MS_10857	MS_6956	MS_9150	MS_9355	MS_10074	MS_11153
-	compound	Amylamine-C5:0	Tyramine-C2:0	Amylamine-C6:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	5.64E-07	3.78E-09	3.63E-06	0.00519697	0.001875244	0.451680924	0.002126132	0.012379675	4.07E-11	1.21E-09	2.62E-22	2.58E-14	6.14E-09	0.040800707	0.003877416	4.67E-07	1.65E-05	6.68E-30	3.77E-15	1.37E-22	4.19E-13	4.56E-09	6.39E-14	6.13E-06	1.46E-13	1.03E-41	1.39E-18	1.23E-12	0.000137909	1.17E-09	1.25E-07	9.39E-09	5.10E-19	3.70E-33	4.36E-10	5.42E-18	2.43E-11	5.87E-11	8.24E-13	5.50E-19	2.90E-11	1.87E-06	1.05E-18	0.003567047	1.69E-42	4.85E-21	7.26E-12	6.39E-07	1.35E-14	8.77E-08	0.000123968	5.45E-06	9.09E-19	2.77E-09	3.23E-06	7.00E-29	1.69E-05	1.96E-06	3.58E-09
-	adjusted p-value	8.32E-07	6.77E-09	4.75E-06	0.005475379	0.002127681	0.451680924	0.002366827	0.01281405	9.23E-11	2.38E-09	2.21E-21	8.95E-14	1.04E-08	0.041504168	0.00415941	7.07E-07	2.03E-05	9.85E-29	1.48E-14	1.34E-21	1.24E-12	7.91E-09	2.10E-13	7.70E-06	4.54E-13	3.04E-40	6.32E-18	3.30E-12	0.000159541	2.37E-09	1.94E-07	1.54E-08	3.25E-18	7.27E-32	9.18E-10	2.28E-17	5.97E-11	1.28E-10	2.32E-12	3.25E-18	6.85E-11	2.63E-06	5.16E-18	0.00389733	9.97E-41	3.57E-20	1.86E-11	9.19E-07	4.96E-14	1.40E-07	0.000146282	6.99E-06	4.88E-18	5.27E-09	4.33E-06	8.26E-28	2.04E-05	2.69E-06	6.60E-09
Day0	Plate12_64368_Soil_GD9_01_28081	3.794204	0	14.297727	0	3.8829823	0	5.0993986	17.22202	0	3.4520593	0	0	0	41.00126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8053946	1.3370132	0	0	0	0	0	0	0	0	0	0	0	0	0	4.182994	0	0	0	0	0	0	0	0	0	0	0	0	0	6.600013	0
Day0	Plate13_55188_Soil_GE3_01_27528	55.85948	4.632781	168.76575	0	6.246583	0	15.684193	22.131771	16.437033	24.97278	0	3.7351677	0	99.98663	4.3991747	3.218352	0	12.5984	0	0	0	9.329486	0	0	0	0	0	0	5.349646	27.249716	5.4169817	6.135607	4.0270147	0	3.2103496	3.322908	8.526769	0	0	0	0	3.9465923	26.93156	3.4927797	0	0	3.3147054	0	5.9219913	3.782151	7.7060404	5.569624	0	0	3.450815	21.370022	21.213423	75.74514	5.3789806
Day0	Plate13_43814_Soil_GE5_01_27530	50.74374	0	144.94159	0	9.152006	3.6712203	3.6895132	38.89216	6.9301777	12.714226	0	0	3.3736212	38.153557	3.4630466	0	0	4.449925	0	0	0	0	0	0	0	0	0	0	14.810534	18.259426	0	3.501495	0	3.7209053	4.9760494	0	0	4.560612	0	4.436762	0	4.589002	55.55729	8.622344	0	3.4026213	0	4.5371037	0	0	7.52206	0	0	0	0	8.062961	3.3298855	70.82995	4.451001
Day0	Plate10_25812_Soil_BC8_01_27744	0	0	4.287625	0	3.4569483	0	0	9.796006	6.4929	6.4929	0	0	0	48.13239	0	0	0	0	0	0	0	4.1933913	0	0	0	0	0	0	4.0483713	9.389551	0	0	0	0	0	0	0	0	0	0	0	0	21.196056	0	0	0	0	0	4.6715117	0	0	0	0	0	0	0	0	30.55839	0
Day0	Plate17_54636_Soil_BE4_01_28407	0	0	0	0	0	0	0	0	0	3.492815	0	0	0	5.3611274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3418233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.213831	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6835682	0
Day0	Plate13_45524_Soil_GC10_01_27509	28.024876	5.151988	85.01411	0	16.01218	0	10.502544	26.132994	4.500801	12.055288	0	0	0	52.23282	0	0	0	19.273113	0	0	0	3.827813	0	4.5759845	0	3.2464528	0	0	10.786594	22.456509	3.5262465	4.025588	0	4.4118567	5.359949	0	5.51326	0	0	0	4.436819	0	33.75923	4.730185	0	0	0	0	5.9517646	5.1193542	22.452312	0	3.5200238	0	3.6082256	5.617853	0	68.3025	0
Day0	Plate14_64930_Soil_BH10_01_27945	0	4.421131	8.213917	0	3.274278	0	3.4018185	25.692482	5.485027	3.9652443	0	0	0	33.971928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5214577	0	0	0	1.7811823	0	0	0	0	0	0	0	0	11.048322	0	0	0	0	0	0	0	3.653655	0	0	0	0	0	0	27.275713	0
