Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail		Compound	Group	Presence	annotation	Tail
2-aminovaleric acid-C2:0	Humans	TRUE	C2:0	Short		2-aminovaleric acid-C10:0	Microbes	TRUE	C10:0	Medium		Arginine-C13:0	Microbes	TRUE	C13:0	Long		2-phenethylamine-C22:0	Foods	TRUE	C22:0	Very long
2-aminovaleric acid-C2:0	Rodents	TRUE	C2:0	Short		Alanine/Sarcosine-C10:0	Humans	TRUE	C10:0	Medium		Asparagine-C13:0	Microbes	TRUE	C13:0	Long		2-phenethylamine-C22:0	Plants	TRUE	C22:0	Very long
2-aminovaleric acid-C2:0	Microbes	TRUE	C2:0	Short		Alanine/Sarcosine-C10:0	Microbes	TRUE	C10:0	Medium		Glutamic acid-C13:0	Humans	TRUE	C13:0	Long		3-methoxytyramine-C22:0	Humans	TRUE	C22:0	Very long
2-phenethylamine-C2:0	Humans	TRUE	C2:0	Short		Alanine/Sarcosine-C10:0	Plants	TRUE	C10:0	Medium		Glutamic acid-C13:0	Microbes	TRUE	C13:0	Long		3-methoxytyramine-C22:0	Foods	TRUE	C22:0	Very long
2-phenethylamine-C2:0	Microbes	TRUE	C2:0	Short		Aminoadipic acid-C10:0	Microbes	TRUE	C10:0	Medium		Glutamine-C13:0	Humans	TRUE	C13:0	Long		3-methoxytyramine-C22:0	Plants	TRUE	C22:0	Very long
2-phenethylamine-C2:0	Foods	TRUE	C2:0	Short		Arginine-C10:0	Humans	TRUE	C10:0	Medium		Glutamine-C13:0	Microbes	TRUE	C13:0	Long		Amylamine-C22:0	Plants	TRUE	C22:0	Very long
2-phenethylamine-C2:0	Plants	TRUE	C2:0	Short		Arginine-C10:0	Rodents	TRUE	C10:0	Medium		Leucine-C13:0	Microbes	TRUE	C13:0	Long		GABA-C22:0	Foods	TRUE	C22:0	Very long
3-hydroxykynurenine-C2:0	Rodents	TRUE	C2:0	Short		Arginine-C10:0	Microbes	TRUE	C10:0	Medium		Lysine-C13:0	Microbes	TRUE	C13:0	Long		GABA-C22:0	Plants	TRUE	C22:0	Very long
3-methoxytyramine-C2:0	Microbes	TRUE	C2:0	Short		Arginine-C10:0	Foods	TRUE	C10:0	Medium		Serine-C13:0	Microbes	TRUE	C13:0	Long		Serotonin-C22:0	Humans	TRUE	C22:0	Very long
3-methoxytyramine-C2:0	Foods	TRUE	C2:0	Short		Arginine-C10:0	Plants	TRUE	C10:0	Medium		Threonine/homoserine-C13:0	Microbes	TRUE	C13:0	Long		Serotonin-C22:0	Foods	TRUE	C22:0	Very long
3-methoxytyramine-C2:0	Plants	TRUE	C2:0	Short		Asparagine-C10:0	Microbes	TRUE	C10:0	Medium		Alanine/Sarcosine-C13:1	Microbes	TRUE	C13:1	Long		Serotonin-C22:0	Plants	TRUE	C22:0	Very long
3-methylhistidine-C2:0	Humans	TRUE	C2:0	Short		Cadaverine-C10:0	Humans	TRUE	C10:0	Medium		Glutamic acid-C13:1	Microbes	TRUE	C13:1	Long		Tryptamine-C22:0	Humans	TRUE	C22:0	Very long
3-methylhistidine-C2:0	Rodents	TRUE	C2:0	Short		Cadaverine-C10:0	Microbes	TRUE	C10:0	Medium		Serine-C13:1	Microbes	TRUE	C13:1	Long		Tryptamine-C22:0	Foods	TRUE	C22:0	Very long
5-aminovaleric acid-C2:0	Plants	TRUE	C2:0	Short		Citrulline-C10:0	Humans	TRUE	C10:0	Medium		Threonine/homoserine-C13:1	Microbes	TRUE	C13:1	Long		Tryptamine-C22:0	Plants	TRUE	C22:0	Very long
5-methoxytryptamine-C2:0	Humans	TRUE	C2:0	Short		Citrulline-C10:0	Microbes	TRUE	C10:0	Medium		2-aminovaleric acid-C14:0	Humans	TRUE	C14:0	Long		Tyramine-C22:0	Foods	TRUE	C22:0	Very long
Aminoadipic acid-C2:0	Humans	TRUE	C2:0	Short		GABA-C10:0	Humans	TRUE	C10:0	Medium		2-aminovaleric acid-C14:0	Microbes	TRUE	C14:0	Long		Tyramine-C22:0	Plants	TRUE	C22:0	Very long
Aminoadipic acid-C2:0	Rodents	TRUE	C2:0	Short		Glutamic acid-C10:0	Humans	TRUE	C10:0	Medium		2-phenethylamine-C14:0	Humans	TRUE	C14:0	Long		Leucine-C22:1	Humans	TRUE	C22:1	Very long
Aminoadipic acid-C2:0	Plants	TRUE	C2:0	Short		Glutamic acid-C10:0	Microbes	TRUE	C10:0	Medium		Alanine/Sarcosine-C14:0	Humans	TRUE	C14:0	Long		Serotonin-C22:1	Foods	TRUE	C22:1	Very long
Amylamine-C2:0	Humans	TRUE	C2:0	Short		Glutamine-C10:0	Humans	TRUE	C10:0	Medium		Alanine/Sarcosine-C14:0	Rodents	TRUE	C14:0	Long		Serotonin-C22:1	Plants	TRUE	C22:1	Very long
Arginine-C2:0	Humans	TRUE	C2:0	Short		Glutamine-C10:0	Microbes	TRUE	C10:0	Medium		Alanine/Sarcosine-C14:0	Microbes	TRUE	C14:0	Long		Glutamic acid-C22:4	Rodents	TRUE	C22:4	Very long
