Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
Leucine-C18:2	hiv_status_clean	-0.36115	0.108797	313	0.00101	0.110832	Leucine
Histamine-C2:0...30	hiv_status_clean	0.588943	0.224136	313	0.009096	0.343779	Histamine
Histamine-C3:0	hiv_status_clean	0.57507	0.234753	313	0.014938	0.343779	Histamine
Leucine-C16:0	hiv_status_clean	-0.20151	0.082002	313	0.015361	0.343779	Leucine
Leucine-C4:0	hiv_status_clean	-0.0985	0.041957	313	0.019521	0.343779	Leucine
Methionine-C16:0	hiv_status_clean	-0.22297	0.096422	313	0.021656	0.343779	Methionine
Histamine-C10:0	hiv_status_clean	0.238469	0.115388	313	0.039778	0.418717	Histamine
Lysine-C16:0	hiv_status_clean	-0.15667	0.080162	313	0.051744	0.470396	Lysine
2-aminovaleric acid-C2:0	hiv_status_clean	-0.17984	0.094084	313	0.058353	0.507421	Aminovaleric.acid
5-methoxytryptamine-C2:0	hiv_status_clean	0.131055	0.07032	313	0.063309	0.527571	Methoxytryptamine
Tryptophan-C18:1	hiv_status_clean	-0.16297	0.09081	313	0.073688	0.574265	Tryptophan
Leucine-C7:0	hiv_status_clean	-0.04494	0.025398	313	0.078047	0.574265	Leucine
Tryptophan-C16:0	hiv_status_clean	-0.12919	0.073979	313	0.082084	0.574265	Tryptophan
Tryptophan-C18:2	hiv_status_clean	-0.2725	0.157926	313	0.085438	0.574265	Tryptophan
Serotonin-C20:0	hiv_status_clean	-0.26389	0.153656	313	0.086906	0.574265	Serotonin
Leucine-C18:1...43	hiv_status_clean	-0.1108	0.065609	313	0.092795	0.574265	Leucine
Histamine-C5:0...35	hiv_status_clean	0.362034	0.220959	313	0.102465	0.574265	Histamine
Phenylalanine-C18:2	hiv_status_clean	-0.13038	0.08325	313	0.118662	0.574265	Phenylalanine
Valine-C18:2	hiv_status_clean	-0.26491	0.170829	313	0.121988	0.574265	Valine
Cadaverine-C16:0	hiv_status_clean	-0.13515	0.088368	313	0.127545	0.574265	Cadaverine
Spermidine-C5:0	hiv_status_clean	-0.46484	0.30519	313	0.129004	0.574265	Spermidine
Threonine/homoserine-C4:0	hiv_status_clean	-0.44873	0.297759	313	0.13306	0.574265	Threonine homoserine
