Variable	metadata	Coefficient	SE	N	P_Value	qval	Class
2-aminovaleric acid-C2:0	globalzimpairment_pe	0.185561	0.083563	313	0.027543	0.365426	Aminovaleric.acid
3-methylhistidine-C2:0	globalzimpairment_pe	0.066461	0.05959	313	0.265582	0.638345	Methylhistidine
5-methoxytryptamine-C2:0	globalzimpairment_pe	0.073278	0.063044	313	0.245994	0.638345	Methoxytryptamine
Alanine/Sarcosine-C5:0	globalzimpairment_pe	0.012291	0.033232	313	0.711742	0.847312	AlanineSarcosine
Arginine-C15:0	globalzimpairment_pe	0.336148	0.220568	313	0.128755	0.574265	Arginine
Arginine-C18:0	globalzimpairment_pe	0.032363	0.151079	313	0.830543	0.907698	Arginine
Arginine-C18:1	globalzimpairment_pe	-0.15718	0.143934	313	0.275774	0.638345	Arginine
Arginine-C5:0	globalzimpairment_pe	0.283362	0.186961	313	0.130728	0.574265	Arginine
Aspartic acid-C2:0	globalzimpairment_pe	0.068968	0.100099	313	0.491393	0.729376	Aspartic
Cadaverine-C10:0	globalzimpairment_pe	0.173513	0.147159	313	0.239495	0.638345	Cadaverine
Cadaverine-C16:0	globalzimpairment_pe	0.060775	0.078917	313	0.441934	0.719959	Cadaverine
Cadaverine-C18:0	globalzimpairment_pe	0.01447	0.082943	313	0.861624	0.936548	Cadaverine
Cadaverine-C2:0...14	globalzimpairment_pe	0.680696	0.267972	313	0.011571	0.343779	Cadaverine
Cadaverine-C2:0...15	globalzimpairment_pe	0.60061	0.255876	313	0.019546	0.343779	Cadaverine
Cadaverine-C3:0	globalzimpairment_pe	0.793836	0.366692	313	0.031166	0.366659	Cadaverine
Cadaverine-C5:0	globalzimpairment_pe	0.881404	0.387765	313	0.023708	0.343779	Cadaverine
Cadaverine-C6:0	globalzimpairment_pe	0.935864	0.284245	313	0.001108	0.110832	Cadaverine
Cadaverine-C7:0	globalzimpairment_pe	0.313753	0.137031	313	0.02276	0.343779	Cadaverine
Cadaverine-C8:0	globalzimpairment_pe	0.168654	0.146509	313	0.250575	0.638345	Cadaverine
Dopamine-C2:0	globalzimpairment_pe	0.229751	0.155805	313	0.141402	0.574265	Dopamine
Glutamic acid-C2:0	globalzimpairment_pe	0.037346	0.030186	313	0.216954	0.638345	Glutamic
Histamine-C10:0	globalzimpairment_pe	0.028608	0.103405	313	0.782255	0.884309	Histamine
