filename	ATTRIBUTE_SampleType	ATTRIBUTE_Bacteria_code	ATTRIBUTE_Bacteria_name	time	ATTRIBUTE_Bacteria
BHI_1_0h_100H2O.mzML	Media	Media_0h	Media	0h	Media_0h
BHI_1_72h_100H2O.mzML	Media	Media_72h	Media	72h	Media_72h
BHI_2_0h_100H2O.mzML	Media	Media_0h	Media	0h	Media_0h
BHI_2_72h_100H2O.mzML	Media	Media_72h	Media	72h	Media_72h
BHI_3_0h_100H2O.mzML	Media	Media_0h	Media	0h	Media_0h
BHI_3_72h_100H2O.mzML	Media	Media_72h	Media	72h	Media_72h
BHI+C+P+H_1_0h_100H2O.mzML	Media+C+P+H	Media+C+P+H_0h	Media+C+P+H	0h	Media+C+P+H_0h
BHI+C+P+H_1_72h_100H2O.mzML	Media+C+P+H	Media+C+P+H_72h	Media+C+P+H	72h	Media+C+P+H_72h
BHI+C+P+H_2_0h_100H2O.mzML	Media+C+P+H	Media+C+P+H_0h	Media+C+P+H	0h	Media+C+P+H_0h
BHI+C+P+H_2_72h_100H2O.mzML	Media+C+P+H	Media+C+P+H_72h	Media+C+P+H	72h	Media+C+P+H_72h
BHI+C+P+H_3_0h_100H2O.mzML	Media+C+P+H	Media+C+P+H_0h	Media+C+P+H	0h	Media+C+P+H_0h
BHI+C+P+H_3_72h_100H2O.mzML	Media+C+P+H	Media+C+P+H_72h	Media+C+P+H	72h	Media+C+P+H_72h
BHI+C+P+H_4_0h_100H2O.mzML	Media+C+P+H	Media+C+P+H_0h	Media+C+P+H	0h	Media+C+P+H_0h
BHI+C+P+H_4_72h_100H2O.mzML	Media+C+P+H	Media+C+P+H_72h	Media+C+P+H	72h	Media+C+P+H_72h
Blank_1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_1_preinjection_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_2_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_2_preinjection_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_3_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_3_preinjection_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_4_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_4_preinjection_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_5_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Blank_6_LC1_100H2O.mzML	Blank	Blank	Blank	Blank	Blank
Ca_1_0h_100H2O.mzML	Monoculture	Ca_0h	Collinsella_aerofaciens_ATCC_25986	0h	Collinsella_aerofaciens_ATCC_25986_0h
Ca_1_72h_100H2O.mzML	Monoculture	Ca_72h	Collinsella_aerofaciens_ATCC_25986	72h	Collinsella_aerofaciens_ATCC_25986_72h
Ca_2_0h_100H2O.mzML	Monoculture	Ca_0h	Collinsella_aerofaciens_ATCC_25986	0h	Collinsella_aerofaciens_ATCC_25986_0h
Ca_2_72h_100H2O.mzML	Monoculture	Ca_72h	Collinsella_aerofaciens_ATCC_25986	72h	Collinsella_aerofaciens_ATCC_25986_72h
Ca_3_0h_100H2O.mzML	Monoculture	Ca_0h	Collinsella_aerofaciens_ATCC_25986	0h	Collinsella_aerofaciens_ATCC_25986_0h
Ca_3_72h_100H2O.mzML	Monoculture	Ca_72h	Collinsella_aerofaciens_ATCC_25986	72h	Collinsella_aerofaciens_ATCC_25986_72h
Ca_4_0h_100H2O.mzML	Monoculture	Ca_0h	Collinsella_aerofaciens_ATCC_25986	0h	Collinsella_aerofaciens_ATCC_25986_0h
Ca_4_72h_100H2O.mzML	Monoculture	Ca_72h	Collinsella_aerofaciens_ATCC_25986	72h	Collinsella_aerofaciens_ATCC_25986_72h
Cm_1_0h_100H2O.mzML	Monoculture	Cm_0h	Catenibacterium_mitsuokai_DSM_15897	0h	Catenibacterium_mitsuokai_DSM_15897_0h
Cm_1_72h_100H2O.mzML	Monoculture	Cm_72h	Catenibacterium_mitsuokai_DSM_15897	72h	Catenibacterium_mitsuokai_DSM_15897_72h
Cm_2_0h_100H2O.mzML	Monoculture	Cm_0h	Catenibacterium_mitsuokai_DSM_15897	0h	Catenibacterium_mitsuokai_DSM_15897_0h
Cm_2_72h_100H2O.mzML	Monoculture	Cm_72h	Catenibacterium_mitsuokai_DSM_15897	72h	Catenibacterium_mitsuokai_DSM_15897_72h
Cm_3_0h_100H2O.mzML	Monoculture	Cm_0h	Catenibacterium_mitsuokai_DSM_15897	0h	Catenibacterium_mitsuokai_DSM_15897_0h
Cm_3_72h_100H2O.mzML	Monoculture	Cm_72h	Catenibacterium_mitsuokai_DSM_15897	72h	Catenibacterium_mitsuokai_DSM_15897_72h
Cm_4_0h_100H2O.mzML	Monoculture	Cm_0h	Catenibacterium_mitsuokai_DSM_15897	0h	Catenibacterium_mitsuokai_DSM_15897_0h
Cm_4_72h_100H2O.mzML	Monoculture	Cm_72h	Catenibacterium_mitsuokai_DSM_15897	72h	Catenibacterium_mitsuokai_DSM_15897_72h
Dl_1_0h_100H2O.mzML	Monoculture	Dl_0h	Dorea_longicatena_DSM_13814	0h	Dorea_longicatena_DSM_13814_0h
Dl_1_72h_100H2O.mzML	Monoculture	Dl_72h	Dorea_longicatena_DSM_13814	72h	Dorea_longicatena_DSM_13814_72h
Dl_2_0h_100H2O.mzML	Monoculture	Dl_0h	Dorea_longicatena_DSM_13814	0h	Dorea_longicatena_DSM_13814_0h
Dl_2_72h_100H2O.mzML	Monoculture	Dl_72h	Dorea_longicatena_DSM_13814	72h	Dorea_longicatena_DSM_13814_72h
Dl_3_0h_100H2O.mzML	Monoculture	Dl_0h	Dorea_longicatena_DSM_13814	0h	Dorea_longicatena_DSM_13814_0h
Dl_3_72h_100H2O.mzML	Monoculture	Dl_72h	Dorea_longicatena_DSM_13814	72h	Dorea_longicatena_DSM_13814_72h
Dl_4_0h_100H2O.mzML	Monoculture	Dl_0h	Dorea_longicatena_DSM_13814	0h	Dorea_longicatena_DSM_13814_0h
Dl_4_72h_100H2O.mzML	Monoculture	Dl_72h	Dorea_longicatena_DSM_13814	72h	Dorea_longicatena_DSM_13814_72h
Dp_1_0h_100H2O.mzML	Monoculture	Dp_0h	Desulfovibrio_piger_ATCC_29098	0h	Desulfovibrio_piger_ATCC_29098_0h
Dp_1_72h_100H2O.mzML	Monoculture	Dp_72h	Desulfovibrio_piger_ATCC_29098	72h	Desulfovibrio_piger_ATCC_29098_72h
Dp_2_0h_100H2O.mzML	Monoculture	Dp_0h	Desulfovibrio_piger_ATCC_29098	0h	Desulfovibrio_piger_ATCC_29098_0h
Dp_2_72h_100H2O.mzML	Monoculture	Dp_72h	Desulfovibrio_piger_ATCC_29098	72h	Desulfovibrio_piger_ATCC_29098_72h
Dp_3_0h_100H2O.mzML	Monoculture	Dp_0h	Desulfovibrio_piger_ATCC_29098	0h	Desulfovibrio_piger_ATCC_29098_0h
Dp_3_72h_100H2O.mzML	Monoculture	Dp_72h	Desulfovibrio_piger_ATCC_29098	72h	Desulfovibrio_piger_ATCC_29098_72h
Dp_4_0h_100H2O.mzML	Monoculture	Dp_0h	Desulfovibrio_piger_ATCC_29098	0h	Desulfovibrio_piger_ATCC_29098_0h
Dp_4_72h_100H2O.mzML	Monoculture	Dp_72h	Desulfovibrio_piger_ATCC_29098	72h	Desulfovibrio_piger_ATCC_29098_72h
Es_1_0h_100H2O.mzML	Monoculture	Es_0h	Eubacterium_siraeum_DSM_15702	0h	Eubacterium_siraeum_DSM_15702_0h
Es_1_72h_100H2O.mzML	Monoculture	Es_72h	Eubacterium_siraeum_DSM_15702	72h	Eubacterium_siraeum_DSM_15702_72h
Es_2_0h_100H2O.mzML	Monoculture	Es_0h	Eubacterium_siraeum_DSM_15702	0h	Eubacterium_siraeum_DSM_15702_0h
Es_2_72h_100H2O.mzML	Monoculture	Es_72h	Eubacterium_siraeum_DSM_15702	72h	Eubacterium_siraeum_DSM_15702_72h
Es_3_0h_100H2O.mzML	Monoculture	Es_0h	Eubacterium_siraeum_DSM_15702	0h	Eubacterium_siraeum_DSM_15702_0h
Es_3_72h_100H2O.mzML	Monoculture	Es_72h	Eubacterium_siraeum_DSM_15702	72h	Eubacterium_siraeum_DSM_15702_72h
Es_4_0h_100H2O.mzML	Monoculture	Es_0h	Eubacterium_siraeum_DSM_15702	0h	Eubacterium_siraeum_DSM_15702_0h
Es_4_72h_100H2O.mzML	Monoculture	Es_72h	Eubacterium_siraeum_DSM_15702	72h	Eubacterium_siraeum_DSM_15702_72h
