UBERONBodyPartName	unique_msms_counts	unique_nacyl_lipids	unique_heads	unique_tails
feces	7334	170	33	30
caecum	4685	113	24	21
jejunum	2159	62	16	13
ileum	1429	60	18	11
duodenum	1788	59	17	10
colon	1328	56	19	16
blood	1257	52	23	18
stomach	239	38	17	10
liver	417	28	12	9
spleen	139	24	7	9
pancreas	26	18	8	7
esophagus	104	15	9	10
brain	217	15	9	10
kidney	40	14	9	3
gall bladder	32	11	3	5
lung	110	10	7	8
upper digestive tract	309	9	3	5
heart	177	7	6	6
thymus	12	6	5	6
vagina	20	5	5	4
trachea	5	4	4	4
uterine cervix	6	4	3	4
ovary	9	3	3	3
uterus	10	3	3	3
lower digestive tract	2	2	2	1
adrenal gland	6	1	1	1
