Head	adrenal gland	blood	brain	caecum	colon	duodenum	esophagus	feces	gall bladder	heart	ileum	jejunum	kidney	liver	lower digestive tract	lung	ovary	pancreas	spleen	stomach	thymus	trachea	upper digestive tract	uterine cervix	uterus	vagina	sum
Spermidine	0	0	3	2047	7332	12	120	65821	0	0	21	27	0	0	0	18	2	1	1	102	0	0	0	15	2	334	75858
Phenylalanine	0	1180	0	18351	2707	4803	242	19294	197	0	5009	7460	24	1201	6	0	0	40	0	981	0	0	1420	0	0	1	62916
Leucine	0	344	0	11265	1280	2932	0	27293	0	0	2319	5712	0	0	0	0	0	0	0	3865	0	0	0	0	0	0	55010
Alanine/Sarcosine	0	1294	0	24	49	69	834	2843	0	12577	16	69	1	10	0	7113	0	0	0	2	0	0	0	0	0	0	24901
Tyrosine	0	4420	0	4756	465	1732	0	712	29	0	987	1456	46	462	1	0	0	19	27	53	0	0	426	0	0	0	15591
Lysine	0	66	0	903	624	595	13	1421	0	2	557	714	6	5	0	0	0	8	120	36	0	2	0	0	0	3	5075
Arginine	0	2	0	405	269	479	0	375	5	0	321	564	1	0	0	0	0	7	81	32	0	0	0	0	0	0	2541
Methionine	0	219	0	647	154	337	0	122	0	0	201	299	17	22	0	0	0	2	0	13	0	0	0	0	0	0	2033
Tryptophan	0	8	0	321	172	20	0	1147	0	0	77	114	0	0	0	0	0	0	0	23	0	0	0	0	0	0	1882
N-acetylputrescine	0	0	0	0	0	0	1	1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1412
Glycine	6	422	0	21	132	13	58	269	0	10	33	39	8	0	0	24	3	0	2	26	1	1	0	1	7	1	1077
Aspartic acid	0	817	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	826
Cadaverine	0	0	0	0	0	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621
Putrescine	0	0	0	0	0	0	0	566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566
N-acetylcadaverine	0	0	0	28	0	0	0	529	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	562
Serine	0	6	233	28	8	63	0	46	0	0	62	98	0	1	0	0	0	0	0	0	3	0	0	0	0	0	548
Amylamine	0	110	1	28	0	1	0	372	0	16	0	0	0	0	0	3	0	0	3	5	0	0	1	0	0	0	540
Taurine	0	0	13	6	1	1	0	425	0	0	23	30	0	19	0	0	0	0	0	0	0	0	0	0	0	0	518
Kynurenine	0	272	0	0	5	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352
Valine	0	11	0	183	0	11	0	68	0	0	4	36	0	0	0	0	0	0	0	29	0	0	0	0	0	0	342
Glutamine	0	5	47	20	0	2	0	15	0	0	24	10	1	159	0	2	0	13	0	0	0	0	0	0	0	0	298
Histidine	0	4	0	58	0	0	6	202	0	0	1	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	280
Glutamic acid	0	49	0	19	137	0	0	45	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	257
Citrulline	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223
Threonine/homoserine	0	139	0	24	1	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
Asparagine	0	0	0	3	6	28	0	67	0	0	21	40	1	0	0	0	0	0	0	0	0	0	0	0	0	0	166
Glutathione	0	0	8	0	59	0	8	0	0	7	0	0	0	3	0	17	4	1	0	0	6	1	0	3	1	9	127
Aminoadipic acid	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126
2-aminovaleric acid	0	10	9	2	4	9	0	22	0	7	1	20	0	2	0	8	0	0	1	15	1	2	0	0	0	0	113
Tyramine	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87
Histamine	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72
Serotonin	0	0	0	1	1	0	7	49	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	60
Tryptamine	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
GABA	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	14
N-acetylornithine	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
2-phenethylamine	0	1	0	5	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
3-methylhistidine	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
3-hydroxykynurenine	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
