filename	ATTRIBUTE_diet	ATTRIBUTE_antibiotics_YN
SS1_RA1_01_7303.mzML	HFD	No
SS11_RA11_01_7317.mzML	NC	No
SS12_RA12_01_7318.mzML	NC	No
SS13_RB1_01_7320.mzML	NC	No
SS50_RE2_01_7362.mzML	NC	No
SS51_RE3_01_7363.mzML	NC	No
SS53_RE4_01_7364.mzML	NC	No
SS53_RE5_01_7365.mzML	NC	No
SS54_RE6_01_7366.mzML	NC	No
SS55_RE7_01_7367.mzML	NC	No
SS56_RE8_01_7368.mzML	NC	No
SS57_RE9_01_7369.mzML	NC	No
SS58_RE10_01_7370.mzML	NC	No
SS59_RE11_01_7371.mzML	NC	No
SS60_RE12_01_7372.mzML	NC	No
SS61_RF1_01_7374.mzML	NC	No
SS62_RF2_01_7375.mzML	NC	No
SS63_RF3_01_7376.mzML	NC	No
SS69_RF9_01_7382.mzML	NC	No
SS70_RF10_01_7384.mzML	NC	No
SS71_RF11_01_7385.mzML	NC	No
SS72_RF12_01_7386.mzML	NC	No
SS73_RG1_01_7388.mzML	NC	No
SS74_RG2_01_7389.mzML	NC	No
SS84_RG12_01_7399.mzML	NC	No
SS85_RH1_01_7401.mzML	NC	No
SS86_RH2_01_7403.mzML	NC	No
SS87_RH3_01_7404.mzML	NC	No
SS88_RH4_01_7405.mzML	NC	No
SS89_RH5_01_7406.mzML	NC	No
SS90_RH6_01_7407.mzML	NC	No
SS91_RH7_01_7408.mzML	NC	No
SS103_RA10_01_7427.mzML	NC	No
SS104_RA11_01_7428.mzML	NC	No
SS105_RA12_01_7429.mzML	NC	No
SS106_RB1_01_7431.mzML	NC	No
SS140_RD11_01_7467.mzML	NC	No
SS141_RD12_01_7468.mzML	NC	No
SS142_RE1_01_7470.mzML	NC	No
SS148_RE7_01_7476.mzML	NC	No
SS149_RE8_01_7478.mzML	NC	No
SS150_RE9_01_7480.mzML	NC	No
SS151_RE10_01_7482.mzML	NC	No
SS152_RE11_01_7483.mzML	NC	No
SS179_RH2_01_7512.mzML	NC	No
SS180_RH3_01_7514.mzML	NC	No
SS181_RH4_01_7516.mzML	NC	No
SS182_RH5_01_7518.mzML	NC	No
SS195_RA9_01_7537.mzML	NC	No
SS196_RA10_01_7538.mzML	NC	No
SS197_RA11_01_7539.mzML	NC	No
SS198_RA12_01_7540.mzML	NC	No
SS199_RB1_01_7542.mzML	NC	No
SS232_RD10_01_7577.mzML	NC	No
SS233_RD11_01_7578.mzML	NC	No
SS234_RD12_01_7579.mzML	NC	No
SS235_RE1_01_7581.mzML	NC	No
SS242_RE8_01_7588.mzML	NC	No
SS243_RE9_01_7589.mzML	NC	No
SS244_RE10_01_7590.mzML	NC	No
SS245_RE11_01_7591.mzML	NC	No
SS246_RE12_01_7592.mzML	NC	No
SS257_RF11_01_7604.mzML	NC	No
SS258_RF12_01_7605.mzML	NC	No
SS259_RG1_01_7607.mzML	NC	No
SS318_RD3_01_7675.mzML	NC	No
SS319_RD4_01_7676.mzML	NC	No
SS320_RD5_01_7677.mzML	NC	No
SS321_RD6_01_7678.mzML	NC	No
SS322_RD7_01_7679.mzML	NC	No
SS323_RD8_01_7680.mzML	NC	No
SS324_RD9_01_7681.mzML	NC	No
SS325_RD10_01_7682.mzML	NC	No
SS326_RD11_01_7683.mzML	NC	No
SS327_RD12_01_7684.mzML	NC	No
SS328_RE1_01_7686.mzML	NC	No
SS329_RE2_01_7687.mzML	NC	No
SS330_RE3_01_7688.mzML	NC	No
SS331_RE4_01_7689.mzML	NC	No
SS371_RH8_01_7732.mzML	NC	No
SS372_RH9_01_7733.mzML	NC	No
SS373_RA1_01_7739.mzML	NC	No
SS374_RA2_01_7740.mzML	NC	No
SS375_RA3_01_7741.mzML	NC	No
SS376_RA4_01_7742.mzML	NC	No
SS377_RA5_01_7743.mzML	NC	No
SS378_RA6_01_7744.mzML	NC	No
SS379_RA7_01_7745.mzML	NC	No
SS380_RA8_01_7746.mzML	NC	No
SS381_RA9_01_7747.mzML	NC	No
SS382_RA10_01_7748.mzML	NC	No
SS383_RA11_01_7749.mzML	NC	No
SS384_RA12_01_7830.mzML	NC	No
SS385_RB1_01_7752.mzML	NC	No
SS386_RB2_01_7753.mzML	NC	No
SS387_RB3_01_7754.mzML	NC	No
SS388_RB4_01_7755.mzML	NC	No
SS389_RB5_01_7756.mzML	NC	No
SS390_RB6_01_7757.mzML	NC	No
SS391_RB7_01_7758.mzML	NC	No
SS407_RC11_01_7777.mzML	NC	No
SS408_RC12_01_7832.mzML	NC	No
SS409_RD1_01_7780.mzML	NC	No
SS410_RD2_01_7781.mzML	NC	No
SS411_RD3_01_7782.mzML	NC	No
SS412_RD4_01_7783.mzML	NC	No
SS417_RD9_01_7788.mzML	NC	No
SS418_RD10_01_7789.mzML	NC	No
SS419_RD11_01_7790.mzML	NC	No
SS420_RD12_01_7791.mzML	NC	No
SS421_RE1_01_7793.mzML	NC	No
SS422_RE2_01_7794.mzML	NC	No
SS423_RE3_01_7795.mzML	NC	No
SS424_RE4_01_7796.mzML	NC	No
SS425_RE5_01_7797.mzML	NC	No
SS2_RA2_01_7306.mzML	HFD	No
SS3_RA3_01_7307.mzML	HFD	No
SS4_RA4_01_7308.mzML	HFD	No
SS5_RA5_01_7309.mzML	HFD	No
SS6_RA6_01_7310.mzML	HFD	No
SS7_RA7_01_7313.mzML	HFD	No
SS8_RA8_01_7314.mzML	HFD	No
SS9_RA9_01_7315.mzML	HFD	No
SS10_RA10_01_7316.mzML	HFD	No
SS14_RB2_01_7322.mzML	HFD	No
SS15_RB3_01_7323.mzML	HFD	No
SS16_RB4_01_7324.mzML	HFD	No
SS17_RB5_01_7325.mzML	HFD	No
SS18_RB6_01_7326.mzML	HFD	No
SS19_RB7_01_7327.mzML	HFD	No
SS20_RB8_01_7328.mzML	HFD	No
SS21_RB9_01_7329.mzML	HFD	No
SS22_RB10_01_7330.mzML	HFD	No
SS23_RB11_01_7331.mzML	HFD	No
