filename	ATTRIBUTE_SampleType	ATTRIBUTE_ADDGroup
Plate6_45824_Skin_GB9_01_26725.mzXML	Skin	Day0
Plate11_45828_Soil_Rerun_GE10_01_27667.mzXML	Soil	Day0
Plate5_41486_Skin_GH7_01_26673.mzXML	Skin	Day0
Plate14_45686_Soil_BB3_01_27853.mzXML	Soil	Day0
Plate6_45520_Skin_GA11_01_26713.mzXML	Skin	Day0
Plate13_45524_Soil_GC10_01_27509.mzXML	Soil	Day0
Plate8_61648_Skin_GE2_01_27380.mzXML	Skin	Day0
Plate16_61652_Soil_GB6_01_28232.mzXML	Soil	Day0
Plate6_54790_Skin_GE5_01_26766.mzXML	Skin	Day0
Plate7_54990_Skin_GD1_01_27056.mzXML	Skin	Day0
Plate9_55004_Skin_Rerun_GB9_01_27007.mzXML	Skin	early
Plate17_54794_Soil_BA10_01_28356.mzXML	Soil	Day0
Plate6_55184_Skin_GC9_01_26740.mzXML	Skin	Day0
Plate13_55188_Soil_GE3_01_27528.mzXML	Soil	Day0
Plate7_60498_Skin_GA4_01_27017.mzXML	Skin	Day0
Plate8_61254_Skin_GG7_01_27414.mzXML	Skin	Day0
Plate13_60502_Soil_GD4_01_27515.mzXML	Soil	Day0
Plate15_61258_Soil_BG6_01_28180.mzXML	Soil	Day0
Plate8_61448_Skin_GG10_01_27418.mzXML	Skin	Day0
Plate10_61452_Soil_BH7_01_27818.mzXML	Soil	Day0
Plate4_60692_Skin_GE3_01_27261.mzXML	Skin	Day0
Plate5_60892_Skin_GD9_01_26614.mzXML	Skin	Day0
Plate14_60696_Soil_BE4_01_27895.mzXML	Soil	Day0
Plate14_60896_Soil_BC6_01_27869.mzXML	Soil	Day0
Plate5_61090_Skin_GB4_01_26578.mzXML	Skin	Day0
Plate15_61094_Soil_BF11_01_28172.mzXML	Soil	Day0
Plate6_63664_Skin_GG5_01_26870.mzXML	Skin	Day0
Plate15_63668_Soil_BG1_01_28175.mzXML	Soil	Day0
Plate5_45162_Skin_GB3_01_26577.mzXML	Skin	Day0
Plate18_45170_Soil_GA10_01_28510.mzXML	Soil	Day0
Plate5_45392_Skin_GG10_01_26662.mzXML	Skin	Day0
Plate17_45400_Soil_BD6_01_28394.mzXML	Soil	Day0
Plate7_54628_Skin_GA3_01_27016.mzXML	Skin	Day0
Plate17_54636_Soil_BE4_01_28407.mzXML	Soil	Day0
Plate1_43648_Skin_GC5_01_26141.mzXML	Skin	Day0
Plate1_43810_Skin_GC2_01_26137.mzXML	Skin	Day0
Plate2_44010_Skin_GD6_01_26378.mzXML	Skin	Day0
Plate13_43652_Soil_GE9_01_27535.mzXML	Soil	Day0
Plate13_43814_Soil_GE5_01_27530.mzXML	Soil	Day0
Plate13_44014_Soil_GB6_01_27490.mzXML	Soil	Day0
Plate1_43448_Skin_GA6_01_26119.mzXML	Skin	Day0
Plate4_64926_Skin_GD1_01_27245.mzXML	Skin	Day0
Plate11_43452_Soil_GF9_01_27671.mzXML	Soil	Day0
Plate14_64930_Soil_BH10_01_27945.mzXML	Soil	Day0
Plate2_43268_Skin_GA8_01_26339.mzXML	Skin	Day0
Plate11_43272_Soil_GC7_01_27626.mzXML	Soil	Day0
Plate7_64170_Skin_GC7_01_27049.mzXML	Skin	Day0
Plate16_64174_Soil_GB11_01_28238.mzXML	Soil	Day0
Plate8_25720_Skin_GE3_01_27381.mzXML	Skin	Day0
Plate10_25724_Soil_BB3_01_27724.mzXML	Soil	Day0
Plate3_62060_Skin_GD8_01_26492.mzXML	Skin	Day0
Plate18_62064_Soil_GE9_01_28565.mzXML	Soil	Day0
Plate1_25220_Skin_GG5_01_26291.mzXML	Skin	Day0
Plate2_25808_Skin_GB10_01_26356.mzXML	Skin	Day0
Plate5_65120_Skin_GF4_01_26640.mzXML	Skin	Day0
Plate10_25812_Soil_BC8_01_27744.mzXML	Soil	Day0
Plate12_25222_Soil_Rerun_GH3_01_28085.mzXML	Soil	Day0
Plate14_65124_Soil_BD7_01_27885.mzXML	Soil	Day0
Plate9_25412_Skin_GA5_01_26941.mzXML	Skin	Day0
Plate10_25416_Soil_BA6_01_27713.mzXML	Soil	Day0
Plate3_61810_Skin_GC5_01_26477.mzXML	Skin	Day0
Plate12_61814_Soil_GB5_01_27976.mzXML	Soil	Day0
Plate3_64564_Skin_Rerun_GH5_01_26551.mzXML	Skin	Day0
Plate10_64568_Soil_BF3_01_27781.mzXML	Soil	Day0
Plate3_64364_Skin_GG1_01_26526.mzXML	Skin	Day0
Plate12_64368_Soil_GD9_01_28081.mzXML	Soil	Day0
Plate2_61954_Skin_GF11_01_26412.mzXML	Skin	Day0
Plate18_61958_Soil_GB6_01_28519.mzXML	Soil	Day0
Plate2_64726_Skin_GG3_01_26418.mzXML	Skin	Day0
Plate10_64730_Soil_BF5_01_27783.mzXML	Soil	Day0
Plate2_55546_Skin_GF2_01_26402.mzXML	Skin	Day0
Plate12_55550_Soil_GG2_01_28041.mzXML	Soil	Day0
Plate6_45844_Skin_GC5_01_26735.mzXML	Skin	early
Plate13_45848_Soil_GA7_01_27478.mzXML	Soil	early
Plate7_60512_Skin_GF10_01_27094.mzXML	Skin	early
Plate12_60516_Soil_GA1_01_27959.mzXML	Soil	early
Plate6_45502_Skin_GE1_01_26762.mzXML	Skin	early
Plate13_45506_Soil_GH8_01_27577.mzXML	Soil	early
Plate4_45702_Skin_Rerun2_GG6_01_27318.mzXML	Skin	early
Plate15_45706_Soil_BG4_01_28178.mzXML	Soil	early
Plate7_54810_Skin_GB1_01_27028.mzXML	Skin	early
Plate8_55024_Skin_GA5_01_27326.mzXML	Skin	active
Plate12_54814_Soil_GF5_01_28030.mzXML	Soil	early
Plate8_55006_Skin_GC10_01_27361.mzXML	Skin	active
Plate7_55204_Skin_GG2_01_27100.mzXML	Skin	early
Plate17_55208_Soil_BB1_01_28360.mzXML	Soil	early
Plate1_43630_Skin_GE1_01_26324.mzXML	Skin	early
Plate1_43830_Skin_GB5_01_26129.mzXML	Skin	early
Plate1_44024_Skin_GC6_01_26142.mzXML	Skin	early
Plate10_43634_Soil_BF4_01_27782.mzXML	Soil	early
Plate11_43834_Soil_GH2_01_27691.mzXML	Soil	early
Plate11_44028_Soil_GF10_01_27672.mzXML	Soil	early
Plate9_61268_Skin_GB11_01_26963.mzXML	Skin	early
Plate15_61272_Soil_BH8_01_28198.mzXML	Soil	early
Plate8_61468_Skin_GF7_01_27400.mzXML	Skin	early
Plate15_61472_Soil_BC2_01_28120.mzXML	Soil	early
Plate6_61630_Skin_GD7_01_26754.mzXML	Skin	early
Plate16_61634_Soil_GD7_01_28263.mzXML	Soil	early
Plate4_60712_Skin_GD8_01_27253.mzXML	Skin	early
Plate4_60874_Skin_GB2_01_27217.mzXML	Skin	early
Plate14_60716_Soil_BC3_01_27866.mzXML	Soil	early
Plate14_60878_Soil_BA2_01_27838.mzXML	Soil	early
Plate5_45176_Skin_GH2_01_26667.mzXML	Skin	early
Plate5_54610_Skin_GA2_01_26561.mzXML	Skin	early
Plate17_45184_Soil_BF10_01_28429.mzXML	Soil	early
Plate18_45420_Soil_GC7_01_28535.mzXML	Soil	early
Plate18_54618_Soil_GE1_01_28556.mzXML	Soil	early
Plate1_43288_Skin_GA11_01_26123.mzXML	Skin	early
Plate1_43468_Skin_GF2_01_26274.mzXML	Skin	early
Plate10_43472_Soil_BA2_01_27709.mzXML	Soil	early
Plate11_43292_Soil_GB4_01_27608.mzXML	Soil	early
Plate4_63646_Skin_GC8_01_27239.mzXML	Skin	early
Plate14_63650_Soil_BE1_01_27892.mzXML	Soil	early
Plate5_61110_Skin_GD7_01_26612.mzXML	Skin	early
Plate14_61114_Soil_BG2_01_27921.mzXML	Soil	early
Plate4_64940_Skin_GA2_01_27203.mzXML	Skin	early
Plate15_64944_Soil_BC11_01_28130.mzXML	Soil	early
