filename;ATTRIBUTE_type;ATTRIBUTE_microbe
Acidaminococcus_fermentans_DSM_20731_1.mzML;sample;Acidaminococcus_fermentans_DSM_20731
Acidaminococcus_fermentans_DSM_20731_2.mzML;sample;Acidaminococcus_fermentans_DSM_20731
Acidaminococcus_intestini_sp_D21_1.mzML;sample;Acidaminococcus_intestini_sp_D21
Acidaminococcus_intestini_sp_D21_2.mzML;sample;Acidaminococcus_intestini_sp_D21
ACN_1.mzML;ACN_Blank;ACN_Blank
ACN_2.mzML;ACN_Blank;ACN_Blank
ACN_3.mzML;ACN_Blank;ACN_Blank
ACN_4.mzML;ACN_Blank;ACN_Blank
ACN_5.mzML;ACN_Blank;ACN_Blank
ACN_6.mzML;ACN_Blank;ACN_Blank
ACN_7.mzML;ACN_Blank;ACN_Blank
ACN_8.mzML;ACN_Blank;ACN_Blank
ACN_9.mzML;ACN_Blank;ACN_Blank
ACN_10.mzML;ACN_Blank;ACN_Blank
ACN_11.mzML;ACN_Blank;ACN_Blank
ACN_12.mzML;ACN_Blank;ACN_Blank
ACN_13_20240515131241.mzML;ACN_Blank;ACN_Blank
ACN_13.mzML;ACN_Blank;ACN_Blank
ACN_14.mzML;ACN_Blank;ACN_Blank
ACN_15.mzML;ACN_Blank;ACN_Blank
Akkermansia_muciniphila_ATCC_BAA-835_1.mzML;sample;Akkermansia_muciniphila_ATCC_BAA-835
Akkermansia_muciniphila_ATCC_BAA-835_2.mzML;sample;Akkermansia_muciniphila_ATCC_BAA-835
Alistipes_finegoldii_DSM_17242_1.mzML;sample;Alistipes_finegoldii_DSM_17242
Alistipes_finegoldii_DSM_17242_2.mzML;sample;Alistipes_finegoldii_DSM_17242
Alistipes_putredinis_DSM_17216_1.mzML;sample;Alistipes_putredinis_DSM_17216
Anaerostipes_caccae_DSM_14662_1.mzML;sample;Anaerostipes_caccae_DSM_14662
Anaerostipes_caccae_DSM_14662_2.mzML;sample;Anaerostipes_caccae_DSM_14662
Anaerotruncus_colihominis_DSM_17241_1.mzML;sample;Anaerotruncus_colihominis_DSM_17241
Anaerotruncus_colihominis_DSM_17241_2.mzML;sample;Anaerotruncus_colihominis_DSM_17241
