strain	Taxonomy_IDs_species	NCBI_name	Taxonomy_IDs_strain
Acidaminococcus_fermentans_DSM_20731	905	Acidaminococcus fermentans DSM 20731	591001
Acidaminococcus_intestini_sp_D21	187327	Acidaminococcus intestini	187327
Akkermansia_muciniphila_ATCC_BAA-835	239935	Akkermansia muciniphila ATCC BAA-835	349741
Alistipes_finegoldii_DSM_17242	214856	Alistipes finegoldii DSM 17242	679935
Anaerostipes_caccae_DSM_14662	105841	Anaerostipes caccae	105841
Bacteroides_caccae_ATCC_43185	47678	Bacteroides caccae ATCC 43185	411901
Bacteroides_cellulosilyticus_DSM_14838	246787	Bacteroides cellulosilyticus DSM 14838	537012
Bacteroides_dorei_DSM_17855	357276	Phocaeicola dorei DSM 17855	483217
Bacteroides_finegoldii_DSM_17565	338188	Bacteroides finegoldii DSM 17565	483215
Bacteroides_intestinalis_DSM_17393	329854	Bacteroides intestinalis DSM 17393	471870
Bacteroides_pectinophilus_ATCC_43243	384638	[Bacteroides] pectinophilus ATCC 43243	483218
Bacteroides_plebeius_DSM_17135	310297	Phocaeicola plebeius DSM 17135	484018
Bacteroides_sp_1_1_6	816	unclassified Bacteroides	2646097
Bacteroides_sp_2_1_22	816	Bacteroides sp. 2_1_22	469588
Bacteroides_sp_9_1_42FAA	816	Bacteroides sp. 9_1_42FAA	457395
Bacteroides_stercoris_ATCC_43183	46506	Bacteroides stercoris ATCC 43183	449673
Bacteroides_thetaiotaomicron_VPI-5482	818	Bacteroides thetaiotaomicron VPI-5482	226186
Bacteroides_uniformis_ATCC_8492	820	Bacteroides uniformis ATCC 8492	411479
Bacteroides_xylanisolvens_DSMZ_18836	371601	Bacteroides xylanisolvens	371601
Bifidobacterium_breve_DSM_20213	1685	Bifidobacterium breve DSM 20213	518634
Bifidobacterium_catenulatum_DSM_16992	1686	Bifidobacterium catenulatum DSM 16992	566552
Bifidobacterium_pseudocatenulatum_DSM_20438	28026	Bifidobacterium pseudocatenulatum DSM 20438	547043
Blautia_hansenii_DSM_20583	1322	Blautia hansenii DSM 20583	537007
Bryantella_formatexigens_DSM_14469	168384	Marvinbryantia formatexigens DSM 14469	478749
Butyrivibrio_crossotus_DSM_2876	45851	Butyrivibrio crossotus DSM 2876	511680
Catenibacterium_mitsuokai_DSM_15897	100886	Catenibacterium mitsuokai DSM 15897	451640
Clostridium_asparagiforme_DSM_15981	333367	[Clostridium] asparagiforme DSM 15981	518636
Clostridium_bolteae_ATCC_BAA-613	411902	Enterocloster bolteae ATCC BAA-613	411902
