filename	SampleType	Mouse_group	Bacteria	BodyPart	Bacteria_Family	Bacteria_Order	Bacteria_Class	Bacteria_Phyllum
Blank_00_PlateA_no_inj_20210724230542.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_00_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_00_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_00_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_01_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_01_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_01_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_01_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_02_PlateA_no_inj_Presequence.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_02_PlateB_no_inj_Presequence.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_02_PlateC_no_inj_Presequence.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_02_PlateD_no_inj_Presequence.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_03_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_03_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_03_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_03_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_04_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_04_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_04_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_04_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_05_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_05_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_05_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_05_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_06_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_06_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_06_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_06_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_07_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_07_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_07_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_07_PlateD_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_08_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_08_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_08_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_09_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_09_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_09_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_10_PlateA_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_10_PlateB_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_10_PlateC_no_inj.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_11_PlateA_no_inj_End.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_11_PlateB_no_inj_End.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_11_PlateC_no_inj_End.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_11_PlateD_no_inj_End.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
Blank_12_PlateA_no_inj_End.mzML	Blank	blank	blank	blank	Blank	Blank	Blank	Blank
