ATTRIBUTE_ADDGroup	filename	MS_482	MS_513	MS_1040	MS_786	MS_1945	MS_1595	MS_1496	MS_4153	MS_6091	MS_2871	MS_1053	MS_5008	MS_475	MS_4871	MS_9453	MS_5865	MS_8665	MS_6023	MS_7675	MS_9086	MS_5929	MS_9203	MS_9522	MS_6098	MS_7969	MS_9850	MS_8453	MS_5898	MS_8942	MS_9357	MS_5940	MS_8145	MS_8680	MS_8430	MS_8604	MS_6227	MS_7729	MS_9099	MS_7031	MS_9439	MS_9753	MS_6327	MS_8388	MS_8927	MS_6828	MS_9383	MS_8429	MS_8640	MS_5531	MS_7295	MS_8016	MS_8880
-	compound	Tyramine-C2:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	7.05E-25	3.41E-44	5.92E-20	4.14E-28	5.76E-47	6.64E-24	4.26E-44	1.39E-63	2.56E-64	9.73E-49	3.62E-12	2.81E-24	9.03E-26	2.56E-34	4.92E-72	1.72E-59	3.31E-66	9.83E-51	1.71E-47	8.63E-54	1.27E-41	5.40E-59	6.34E-78	1.03E-64	1.42E-49	5.49E-56	2.83E-43	2.05E-40	8.72E-65	8.08E-63	1.85E-58	1.52E-58	9.37E-45	1.10E-62	2.16E-55	2.99E-52	4.54E-41	1.43E-05	3.43E-47	2.50E-67	1.45E-48	8.47E-49	1.09E-39	2.01E-60	8.37E-23	1.00E-35	2.64E-62	1.82E-40	4.88E-48	5.57E-59	1.24E-25	3.07E-38
-	adjusted p-value	7.97E-25	5.54E-44	6.16E-20	5.01E-28	9.98E-47	7.20E-24	6.72E-44	9.06E-63	1.90E-63	2.02E-48	3.69E-12	3.10E-24	1.07E-25	3.17E-34	1.28E-70	6.89E-59	4.30E-65	2.32E-50	3.17E-47	2.24E-53	1.89E-41	1.93E-58	3.29E-76	8.95E-64	3.22E-49	1.59E-55	4.33E-43	2.81E-40	8.95E-64	4.67E-62	5.66E-58	4.93E-58	1.57E-44	5.72E-62	5.90E-55	7.41E-52	6.56E-41	1.43E-05	6.15E-47	4.34E-66	2.90E-48	1.83E-48	1.46E-39	8.72E-60	8.88E-23	1.27E-35	1.25E-61	2.56E-40	9.39E-48	1.93E-58	1.43E-25	3.99E-38
Day0	Plate5_45162_Skin_GB3_01_26577	0	0	13.294239	0	3.409915	7.653761	0	0	0	4.2629957	14.126422	10.377581	0	4.0105987	6.005371	0	3.3571053	0	5.9687147	0	3.9482617	3.2274652	0	0	17.157757	22.464321	7.491165	4.041162	0	8.906323	8.538471	3.675107	4.7756004	0	3.9093056	4.2345	3.3016443	47.87185	127.15218	5.39213	4.698372	0	4.1404	7.148302	71.88558	0	6.199585	3.6502552	4.006343	9.45705	81.283226	5.701185
Day0	Plate2_25808_Skin_GB10_01_26356	0	0	7.602223	0	8.140052	12.742865	4.6092877	4.461444	0	5.0471106	15.240808	4.1389313	0	0	5.825981	0	0	0	4.1177444	17.655367	4.080367	0	0	0	8.247639	15.621906	5.402617	11.360117	0	0	9.797583	6.638896	3.1222458	0	0	31.338808	0	3.6412013	54.489613	0	0	0	6.05231	0	16.484467	0	0	3.1460307	19.13662	90.1935	6.278674	0
Day0	Plate3_64564_Skin_Rerun_GH5_01_26551	0	0	5.5655365	0	9.015239	13.977907	4.1975317	0	0	0	16.617832	4.5783734	0	0	0	0	0	0	7.4078217	0	0	0	0	0	7.438984	31.533592	8.269061	65.167366	0	13.438295	3.2499046	0	7.232422	6.7210584	9.465997	4.529005	6.451442	53.678337	12.891968	3.6934624	0	0	16.47482	7.9044	102.82077	7.4335523	4.446225	19.686533	4.2094383	10.762875	180.05824	11.545343
Day0	Plate3_62060_Skin_GD8_01_26492	0	0	6.403307	0	5.981882	13.44257	19.389816	0	0	8.21181	19.514332	12.7215395	2.7599702	0	12.669326	0	0	0	7.7522793	3.8650632	0	3.374382	0	0	24.364275	51.953644	8.792197	36.301865	0	0	5.1067357	12.704584	12.151825	3.4483967	4.414856	3.3193781	0	46.358093	89.1935	0	3.9037647	0	0	6.8336334	46.21566	14.546438	4.3804493	3.5410066	8.3264675	7.9044	112.82616	10.008838
Day0	Plate7_60498_Skin_GA4_01_27017	0	0	21.34784	3.826663	10.584615	19.880539	8.58967	3.7773514	0	5.3072205	22.997934	0	0	0	6.0735235	0	9.264023	0	3.8815856	0	6.4314375	0	0	0	12.333226	16.77766	6.7468853	26.117678	0	7.886386	5.1953893	3.6202798	7.8103	6.208397	6.0993967	40.323784	3.766632	8.175278	295.50574	0	0	0	4.9420023	6.1294556	26.676071	4.174082	7.7192206	6.1569285	3.3006198	140.17093	119.40856	7.5275702
Day0	Plate1_25220_Skin_GG5_01_26291	0	0	5.113923	0	8.887756	12.335125	3.6166816	0	3.34055	0	8.297785	8.360263	0	0	48.88037	0	26.128134	0	10.996403	5.079353	0	0	8.636912	0	6.9458656	67.79532	15.684571	11.930269	16.966303	62.101875	5.4145885	19.814705	3.971756	7.052659	7.6980414	37.238476	13.090194	32.880714	262.25955	68.52179	39.609505	4.7195935	5.6810217	5.9146867	34.434883	0	4.024274	13.336976	6.8029594	65.33275	499.23758	10.679042
Day0	Plate8_61254_Skin_GG7_01_27414	3.666004	0	9.174746	3.9079204	6.9300632	14.280785	6.417801	0	3.339365	0	40.665134	3.9272814	0	0	2.259304	0	0	3.2521749	17.70728	0	0	0	0	0	6.692734	14.458434	19.603104	3.7808075	0	0	3.5114417	3.2722948	0	0	4.446225	0	3.6266685	55.230354	64.96422	0	0	0	3.34055	0	41.336353	0	0	4.6163893	4.1989827	10.211573	72.830696	0
Day0	Plate1_43648_Skin_GC5_01_26141	0	0	4.056188	0	4.866729	9.164725	0	5.5554786	0	0	4.075502	5.758728	0	0	20.282135	0	11.0527315	0	13.095026	0	0	0	17.55251	0	0	47.466892	7.4084415	28.892761	3.387487	5.0585647	0	6.053381	6.6842127	3.590529	9.506683	67.421165	9.862593	39.28474	1170.502	6.3851166	0	3.3825517	6.0542955	0	56.681442	3.521204	0	12.525059	4.632987	238.11806	965.39325	8.144989
Day0	Plate5_41486_Skin_GH7_01_26673	0	0	4.959092	0	0	23.298645	0	0	0	0	28.751833	0	0	0	16.14159	0	0	0	7.8088503	0	0	0	3.617673	0	9.547602	24.494835	0	0	0	0	0	4.3694415	5.086714	0	3.24645	7.3830266	4.5857477	13.472381	230.50842	0	0	0	5.0542355	7.3450766	81.659096	8.117418	0	7.076073	13.197112	6.577654	176.01588	13.010084
Day0	Plate7_54628_Skin_GA3_01_27016	7.6394515	0	9.142942	0	8.820344	24.57911	12.181007	9.982977	4.28675	3.740475	68.759735	4.052041	5.8791933	0	4.5542336	0	0	0	9.139961	0	3.2138119	0	3.079722	0	9.733458	16.038597	10.750231	131.8185	0	4.8923583	4.4272995	3.9827762	12.049072	0	20.342342	68.23798	6.363968	5.1553583	478.29227	0	0	0	0	10.041612	16.182682	3.8623881	0	3.8430853	4.827757	339.64972	29.827734	10.02149
Day0	Plate2_61954_Skin_GF11_01_26412	0	0	13.07601	3.0689342	7.1621614	25.000826	3.6612089	0	3.212636	0	5.588628	6.107418	0	0	12.001087	0	0	0	11.04094	0	0	0	0	0	9.798669	36.427536	3.7719727	4.455526	7.875204	0	4.8993344	7.3946037	4.718509	3.2630155	4.989069	4.2150164	18.374489	23.055641	194.0885	3.7808075	4.9042864	3.4569483	4.840993	6.495203	62.62875	0	5.4068565	9.149426	5.7666807	16.22057	166.21637	5.66803
Day0	Plate6_55184_Skin_GC9_01_26740	0	0	0	0	7.761649	6.881483	3.4532857	3.335844	4.031337	5.3203945	13.335583	3.577032	0	0	7.5284324	0	0	6.2778635	10.341726	0	0	0	3.182806	0	4.6629066	37.4812	18.199196	32.79825	0	0	3.8649426	4.2595353	7.9486294	0	5.335509	4.168356	12.028852	24.87642	142.05884	3.8843393	5.4613166	4.7840447	11.995724	0	7.0129366	5.834869	3.3547354	5.669525	7.0750237	5.1861687	150.11551	9.922424
Day0	Plate4_60692_Skin_GE3_01_27261	0	0	7.398145	6.8879347	25.010817	40.749825	7.418985	0	0	3.3850014	39.198322	10.659704	5.184298	0	16.55299	0	0	0	5.3193383	0	0	0	3.1453109	0	8.696816	28.431702	0	5.244214	3.4207702	0	3.4495883	4.7620716	6.035263	0	4.0773783	0	0	12.160015	230.75961	3.6491003	0	0	5.3072205	6.8893633	65.01421	3.1567793	0	3.2711349	0	14.239241	400.96423	0
Day0	Plate2_64726_Skin_GG3_01_26418	0	0	2.9934747	0	0	22.652178	0	0	0	5.7830443	5.3345194	3.6816714	0	0	10.061836	0	4.1577854	0	13.184587	0	5.9307127	8.160734	0	0	0	30.27002	15.213568	118.45661	5.5283747	3.9772158	6.987968	4.026206	23.181501	3.3712347	8.048485	4.960304	13.99344	39.854126	17.674595	11.048835	0	5.2021723	5.4795213	0	27.49368	4.676493	0	10.919971	7.469946	16.49503	163.79504	14.067884
Day0	Plate7_64170_Skin_GC7_01_27049	8.544875	0	10.529261	5.8259516	11.58843	50.13347	19.408215	21.847965	7.559861	8.310042	126.217926	9.365095	8.751454	0	32.710762	0	6.998559	0	6.2068267	0	4.5451565	11.380552	17.639229	0	22.413286	30.235722	0	182.44449	13.672123	5.366314	3.7510893	4.9925566	11.245363	0	5.879104	21.935312	0	56.66064	51.34446	6.473899	0	0	5.5010004	16.491144	98.5766	5.0922494	3.9398632	4.8775787	4.7372246	103.93848	397.79996	8.14805
