ATTRIBUTE_ADDGroup	filename	MS_482	MS_513	MS_1040	MS_786	MS_1945	MS_1595	MS_1496	MS_4153	MS_6091	MS_2871	MS_1053	MS_5008	MS_475	MS_4871	MS_9453	MS_5865	MS_8665	MS_6023	MS_7675	MS_9086	MS_5929	MS_9203	MS_9522	MS_6098	MS_7969	MS_9850	MS_8453	MS_5898	MS_8942	MS_9357	MS_5940	MS_8145	MS_8680	MS_8430	MS_8604	MS_6227	MS_7729	MS_9099	MS_7031	MS_9439	MS_9753	MS_6327	MS_8388	MS_8927	MS_6828	MS_9383	MS_8429	MS_8640	MS_5531	MS_7295	MS_8016	MS_8880
-	compound	Tyramine-C2:0	Putrescine-C6:0	Tyramine-C3:0	Cadaverine-C6:0	Leucine-C4:0	GABA-C6:0	Tyramine-C4:0	2-phenethylamine-C6:0	Amylamine-C9:0	Tyramine-C6:0	Tyrosine-C4:0	Leucine-C9:0	Histidine-C9:4	Putrescine-C14:0	Amylamine-C16:0	Putrescine-C16:0	2-phenethylamine-C14:0	Cadaverine-C16:0	Leucine-C14:0	2-phenethylamine-C15:0	Histamine-C16:0	Amylamine-C18:2	Amylamine-C18:1	Putrescine-C18:1	Alanine/Sarcosine-C18:1	Amylamine-C18:0	Valine-C16:0	Glutamic acid-C14:0	2-phenethylamine-C16:1	2-phenethylamine-C16:0	Spermidine-C16:0	Leucine-C16:1	Leucine-C16:0	Tyramine-C16:0	Valine-C18:1	Glutamic acid-C16:1	2-phenethylamine-C18:2	2-phenethylamine-C18:2	Glutamic acid-C16:0	2-phenethylamine-C18:1	2-phenethylamine-C18:0	Spermidine-C18:1	Leucine-C18:2	Leucine-C18:1	Glutamic acid-C17:1	Leucine-C18:0	Tyramine-C18:1	Phenylalanine-C16:0	Glutamic acid-C18:1	Glutamic acid-C18:1	Glutamic acid-C18:0	Phenylalanine-C18:1
-	p-value	1.06E-07	2.06E-03	1.01E-04	0.090006289	2.08E-05	0.00282311	1.13E-05	5.86E-20	3.35E-14	5.17E-05	4.74E-03	1.34E-03	7.93E-05	0.00021938	8.58E-29	6.49E-15	7.55E-21	9.92E-14	2.50E-06	2.87E-10	2.82E-10	1.51E-09	1.03E-41	1.23E-12	7.48E-05	5.19E-10	1.64E-05	3.86E-05	1.04E-13	2.21E-32	1.61E-10	1.46E-15	1.64E-11	8.47E-11	1.15E-10	7.11E-16	3.00E-11	5.57E-05	1.47E-12	3.26E-40	9.02E-21	1.96E-09	3.48E-04	7.08E-08	2.95E-05	1.75E-01	3.49E-13	5.85E-06	5.88E-06	2.72E-28	1.88E-06	4.07E-06
-	adjusted p-value	1.89E-07	2.23E-03	1.20E-04	0.091771118	2.93E-05	0.002995953	1.67E-05	3.81E-19	1.45E-13	6.73E-05	4.93E-03	1.48E-03	9.59E-05	0.000253505	1.12E-27	3.07E-14	6.55E-20	3.88E-13	4.19E-06	6.23E-10	6.23E-10	3.02E-09	5.36E-40	3.99E-12	9.26E-05	1.08E-09	2.36E-05	5.15E-05	3.88E-13	3.83E-31	3.80E-10	7.60E-15	4.73E-11	2.20E-10	2.84E-10	4.11E-15	8.21E-11	7.06E-05	4.49E-12	8.49E-39	6.70E-20	3.78E-09	3.94E-04	1.31E-07	4.04E-05	1.75E-01	1.21E-12	8.99E-06	8.99E-06	2.83E-27	3.26E-06	6.61E-06
Day0	Plate17_54794_Soil_BA10_01_28356	0	0	0	0	0	0	0	0	0	0	19.22655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1716843	0	0	0	0	0	2.7904873	0	0	0	0	0	2.3740947	0
Day0	Plate18_61958_Soil_GB6_01_28519	0	0	0	0	0	0	0	0	0	0	1.8371595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1677351	0
Day0	Plate14_64930_Soil_BH10_01_27945	4.421131	0	3.903635	0	3.4018185	25.692482	5.485027	0	0	0	41.119267	4.0370445	0	0	0	0	0	0	0	0	0	0	0	0	6.2605977	4.5214577	0	0	5.6133337	1.7811823	0	2.552954	0	0	0	0	0	2.8276968	11.048322	0	0	0	0	0	3.653655	0	0	0	0	0	35.419533	0
Day0	Plate13_44014_Soil_GB6_01_27490	3.360495	0	9.242595	0	5.3929577	32.74514	14.922184	0	0	0	91.765305	0	4.388274	0	8.870045	0	0	0	0	19.03432	0	0	3.9410248	0	6.3919907	20.21361	7.1255465	3.8829625	0	0	0	0	0	0	0	0	0	4.735186	0	4.0099325	0	3.2452984	4.562231	0	33.6902	4.458742	0	0	6.4010696	3.9203534	0	0
Day0	Plate15_61258_Soil_BG6_01_28180	0	0	4.343954	0	4.2495203	5.0990877	6.0543823	0	0	0	37.652145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7970314	0	0	0	0	0	0	0	0	0	0	0	0	9.551201	0	0	0	0	0	3.5909843	0	0	0	0	0	13.723661	0
Day0	Plate18_45170_Soil_GA10_01_28510	0	0	0	0	0	2.3454964	0	0	0	0	2.491126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Day0	Plate10_64730_Soil_BF5_01_27783	0	0	3.553535	0	8.625956	8.625956	4.1948767	0	0	0	22.550167	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7044663	2.8746223	3.223989	46.85374	0	0	0	0	0	0	0	0	0	7.360628	23.697342	0	0	0	5.2256584	3.0927095	9.9922905	0	0	0	0	0	35.960976	3.515222
