ATTRIBUTE_diet	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
-	p-values	1.00E-40	4.42E-56	2.47E-50	0.389571284	1.92E-15	2.51E-30	0.895795824	8.52E-18	1.04E-29	0.052805323	1.94E-09	0.000296874	1.12E-81	4.89E-05	2.12E-37	2.83E-57	9.79E-57	2.02E-36	0.000225691	0.100236112	3.03E-14	4.13E-06	4.07E-13	0.020733032	2.60E-11	3.15E-08	0.782052066	1.90E-60	0.325930626	1.67E-15	0.173768228	0.169637217	7.71E-06	3.29E-19	0.002137396	4.04E-29	1.87E-14	3.29E-17	1.65E-20	0.826947601	7.29E-44	0.001075216	1.03E-13	6.91E-06	9.35E-07	1.38E-15	7.11E-30	0.716995849	1.91E-27	9.03E-09	1.04E-26
-	adjusted p-values	6.38E-40	4.50E-55	2.10E-49	0.422726287	4.25E-15	1.16E-29	0.895795824	2.29E-17	4.09E-29	0.064120749	3.41E-09	0.000398436	5.70E-80	6.92E-05	1.20E-36	4.81E-56	1.25E-55	1.03E-35	0.000311088	0.118884691	6.18E-14	6.39E-06	7.69E-13	0.025789869	4.74E-11	5.19E-08	0.813972559	4.86E-59	0.361357868	3.87E-15	0.196937325	0.196624956	1.12E-05	9.31E-19	0.00272518	1.47E-28	3.98E-14	8.40E-17	4.96E-20	0.843486553	5.31E-43	0.001406052	2.03E-13	1.04E-05	1.49E-06	3.34E-15	3.02E-29	0.76180809	6.51E-27	1.54E-08	3.31E-26
HFD	SS18_RB6_01_7326	0	51.104748	0	0	0	10.137821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7886887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HFD	SS270_RG12_01_7618	360.2192	0	8.046082	339.1098	33.66443	329.95676	513.849	245.78044	224.65186	0	560.55084	0	0	0	0	6.1501436	12.492592	0	0	0	0	0	153.0657	76.643776	284.45645	0	189.23541	0	195.95491	162.53915	279.58133	386.76862	0	813.10913	0	85.45128	124.66523	217.05292	150.67245	38.32374	122.83196	20.66375	0	0	333.68973	524.3501	63.981888	49.4514	92.86026	0	36.875458
HFD	SS236_RE2_01_7582	33.365524	0	29.507538	212.62505	18.002975	56.600037	506.75107	0	78.609955	0	0	0	0	0	0	6.459392	28.673828	0	303.1435	0	0	0	792.7304	223.7115	466.48688	0	368.1242	0	132.37215	280.18567	0	927.79846	0	1910.6207	5.0048847	79.44808	266.62918	564.2461	271.98694	103.37131	132.39163	52.03826	32.428806	32.97008	366.24924	641.427	25.656103	105.52165	247.58943	0	71.17374
HFD	SS273_RH3_01_7622	26.236504	88.872986	0	0	39.11573	45.381485	0	0	216.0005	0	286.164	0	0	0	0	0	0	0	0	0	70.96573	0	5.8361087	3.029498	0	0	14.697521	0	2.4854193	0	0	0	0	3.9367094	0	0	0	26.530066	0	0	141.1618	0	0	0	0	2.8041096	7.271576	28.54834	2.749484	0	0
HFD	SS250_RF4_01_7597	0	0	0	138.64966	40.111034	50.56447	725.0093	0	37.367363	0	0	0	0	0	0	0	0	0	119.33704	0	0	0	455.52002	61.42189	86.781944	0	97.398895	0	73.73862	344.23413	36.32896	464.14334	0	1234.1359	0	108.18602	172.5534	141.10956	122.63616	34.85162	87.6772	57.887	0	0	129.21652	366.766	34.98127	84.07446	77.59163	2.8795805	46.98745
HFD	SS268_RG10_01_7616	321.52716	0	2.497966	111.825676	0	428.89032	271.3781	0	203.28786	0	541.56976	0	0	0	0	0	3.0073347	0	0	0	0	0	68.27825	10.163584	26.373999	0	63.388897	0	48.253036	73.61169	0	35.19821	0	173.11505	0	0	0	61.87063	52.47258	3.6565547	62.577827	9.723341	0	0	0	47.22054	29.738325	93.86592	8.677347	0	9.7423935
HFD	SS211_RC1_01_7555	0	0	0	175.40898	41.322987	27.98394	744.3739	0	53.625774	0	0	0	0	0	0	0	0	0	0	0	972.1424	1835.9128	651.0264	172.46158	460.8406	0	120.22107	9.513933	1596.5854	4740.531	149.14189	0	84.64182	410.2507	6.99527	1251.0092	374.49405	241.91924	53.461548	108.28053	517.22644	54.870007	0	34.393246	0	305.49677	362.94693	179.19263	210.48271	2.7288437	29.899775
