ATTRIBUTE_antibiotics_YN	filename	MS_718	MS_614	MS_1557	MS_3957	MS_4136	MS_485	MS_4039	MS_9983	MS_840	MS_15981	MS_13814	MS_10645	MS_30185	MS_23517	MS_29852	MS_23461	MS_30388	MS_30838	MS_28632	MS_30065	MS_23805	MS_25563	MS_29013	MS_27931	MS_28897	MS_29738	MS_23556	MS_30215	MS_24526	MS_26131	MS_22498	MS_28514	MS_25616	MS_29459	MS_26934	MS_30091	MS_29005	MS_24489	MS_23873	MS_23840	MS_28750	MS_28944	MS_29727	MS_30179	MS_28483	MS_29435	MS_30085	MS_26700	MS_27625	MS_29509	MS_27861
-	compound	Putrescine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Valine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Methionine-C2:0	Phenylalanine-C2:0	3-methylhistidine-C2:0	Leucine-C5:0	Phenylalanine-C4:0	Tyrosine-C5:0	Amylamine-C16:0	Asparagine-C14:0	Amylamine-C18:2	Putrescine-C18:2	Amylamine-C18:1	Amylamine-C18:0	Valine-C16:0	2-phenethylamine-C16:0	Spermidine-C16:1	Spermidine-C16:0	Leucine-C16:0	Valine-C18:2	Valine-C18:1	2-phenethylamine-C18:2	Lysine-C16:0	2-phenethylamine-C18:1	Spermidine-C18:2	Spermidine-C18:1	Spermidine-C18:1	Leucine-C18:2	Aspartic acid-C18:2	Leucine-C18:1	Aspartic acid-C18:1	Leucine-C18:0	Phenylalanine-C16:0	Lysine-C18:1	Lysine-C18:1	Arginine-C16:0	Methionine-C18:1	Leucine-C20:3	Leucine-C20:2	Leucine-C20:1	Phenylalanine-C18:2	Phenylalanine-C18:1	Phenylalanine-C18:0	Tyrosine-C18:2	Tyrosine-C18:1	Phenylalanine-C20:3	Tryptophan-C18:2
-	p-values	1.05E-10	4.20E-02	4.85E-06	1.48E-06	1.33E-07	7.13E-05	6.71E-18	5.53E-02	4.18E-01	0.25751565	7.38E-05	0.849536312	6.82E-01	1.00E+00	1.00E+00	2.02E-15	9.54E-01	1.27E-01	0.003170903	1	5.19E-07	2.05E-05	3.34E-08	0.010332066	2.20E-03	1.00E+00	0.489581178	3.22E-02	1.17E-10	1.49E-09	0.000141743	0.177597735	1.16E-02	7.18E-04	0.015294796	3.57E-10	9.40E-06	1.36E-01	2.00E-02	5.07E-06	7.43E-12	0.001808343	9.78E-02	8.06E-02	5.97E-01	6.52E-03	1.38E-07	6.58E-05	9.93E-04	6.24E-03	5.82E-07
-	adjusted p-values	5.34E-09	1.00E+00	2.47E-04	7.53E-05	6.76E-06	3.64E-03	3.42E-16	1.00E+00	1.00E+00	1	3.76E-03	1	1.00E+00	1	1.00E+00	1.03E-13	1.00E+00	1.00E+00	0.161716066	1	2.65E-05	0.001047203	1.70E-06	0.526935391	1.12E-01	1.00E+00	1	1.00E+00	5.95E-09	7.61E-08	0.007228891	1	0.590255526	3.66E-02	0.780034571	1.82E-08	4.79E-04	1.00E+00	1.00E+00	0.000258654	3.79E-10	0.092225473	1.00E+00	1	1.00E+00	3.32E-01	7.05E-06	0.003357906	5.07E-02	3.18E-01	2.97E-05
No	SS18_RB6_01_7326	0	51.104748	0	0	0	10.137821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7886887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No	SS249_RF3_01_7596	0	0	0	209.2573	9.832254	44.543865	586.85706	0	60.56011	0	89.84529	0	0	0	0	2.857129	0	0	0	0	0	0	210.2011	25.265259	57.48113	0	96.73211	0	20.714424	121.38816	0	124.45366	0	210.78961	4.2549877	69.20205	53.853065	98.25	86.691605	114.26353	196.84915	0	0	0	86.0776	155.21175	31.992035	183.09697	231.85764	0	10.309236
No	SS253_RF7_01_7600	0	0	0	197.59508	73.72574	34.39903	816.6429	0	64.54494	0	229.45924	0	0	0	0	0	0	0	0	0	385.1814	745.52075	462.86884	54.454987	104.22699	0	325.31943	0	429.01938	1366.6432	0	0	89.40541	376.604	2.8769436	170.40529	230.46404	253.91774	166.58423	308.49194	135.85056	0	0	0	0	322.93686	44.26434	72.20435	194.04755	2.8911338	14.118478
No	SS290_RA11_01_7644	0	0	0	0	0	71.75409	226.22258	0	40.74002	0	0	0	0	0	0	0	0	0	0	0	0	0	42.860092	2.5450773	10.605774	0	88.99925	0	61.36097	117.84808	0	21.749495	0	97.97866	0	0	0	106.535225	69.070465	28.498655	18.227236	0	0	0	0	31.607937	20.114405	12.630243	18.120565	0	6.5883207
No	SS286_RA7_01_7640	0	0	0	65.58328	0	88.632614	271.6517	0	52.37027	0	0	0	0	0	0	0	0	0	0	0	0	0	61.320198	17.757605	16.73888	0	65.855804	0	75.45199	142.85475	0	43.451202	0	179.63579	0	0	0	109.35972	70.69569	10.925104	42.293377	0	0	0	35.722797	97.622925	9.150482	56.582363	23.930937	0	4.3903027
No	SS275_RH5_01_7624	0	0	3.5087986	246.78893	51.907944	49.435974	907.06323	0	182.49612	0	321.14862	0	0	0	0	0	10.480721	82.96009	0	0	153.9933	180.17883	109.536255	10.264966	64.9081	0	129.86313	0	234.2896	662.96155	206.45575	43.912346	0	416.1662	3.5323572	65.10693	0	195.08977	53.370857	47.455227	437.4338	0	0	32.807293	57.043495	257.6551	74.31892	84.688	34.936398	2.7204561	24.058414
No	SS282_RA3_01_7636	48.922066	0	0	27.712217	0	99.39789	171.51768	0	170.94427	0	0	0	0	0	0	0	11.072715	0	0	0	0	0	15.621364	3.53726	28.583843	0	75.20982	0	20.36436	39.21208	0	0	0	116.223175	0	0	0	131.44724	116.90874	65.83823	34.65226	0	0	0	70.39426	168.98077	18.072416	37.654514	50.973995	0	8.3652115
