filename	MS_670	MS_1030	MS_6449	MS_717	MS_894	MS_453	MS_3590	MS_6872	MS_1191	MS_4169	MS_5010	MS_1341	MS_2942	MS_4813	MS_9355	MS_3517	MS_7760	MS_2118	MS_2112	MS_6466	MS_8239	MS_243	MS_1526	MS_1109	MS_2936	MS_5981	MS_5279	MS_4449	MS_7579	MS_9944	MS_13162	MS_8475	MS_5106	MS_8386	MS_8541	MS_877	MS_10867	MS_15189	MS_972	MS_9095	MS_9008	MS_10855	MS_5534	MS_12717	MS_4361	MS_12600	MS_14651	MS_18006	MS_5683	MS_4689	MS_20130	MS_13564	MS_15990	MS_5921	MS_13221	MS_18173	MS_15659	MS_16381	MS_23208	MS_23827	MS_18694	MS_20828	MS_23228	MS_22550	MS_23818	MS_31692	MS_24091	MS_25781	MS_29668	MS_26402	MS_32495	MS_22927	MS_24288	MS_29361	MS_19344	MS_23521	MS_31275	MS_32587	MS_28216	MS_32710	MS_20454	MS_31008	MS_32449	MS_18921	MS_24129	MS_31931	MS_19854	MS_23328	MS_32041	MS_28713	MS_30343	MS_23695	MS_32983	MS_23188	MS_31397	MS_27981	MS_30083	MS_30655	MS_32048	MS_37395
compound	Putrescine-C2:0	Cadaverine-C2:0	Cadaverine-C2:0	Histamine-C2:0	Histamine-C2:0	Cadaverine-C3:0	Putrescine-C4:0	2-aminovaleric acid-C2:0	Histamine-C3:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	N-acetylputrescine-C2:0	Putrescine-C5:0	Putrescine-C5:0	Alanine/Sarcosine-C5:0	Aspartic acid-C2:0	Tyramine-C2:0	Histamine-C4:0	Histamine-C4:0	N-acetylcadaverine-C2:0	Cadaverine-C5:0	Spermidine-C2:0	Lysine-C2:0	Glutamic acid-C2:0	Threonine/homoserine-C4:0	Dopamine-C2:0	Histamine-C5:0	Histamine-C5:0	N-acetylcadaverine-C3:0	Cadaverine-C6:0	Leucine-C4:0	Methionine-C3:0	Spermidine-C5:0	Histamine-C6:0	Histamine-C6:0	3-methylhistidine-C2:0	Cadaverine-C7:0	Leucine-C5:0	Spermidine-C4:0	Spermidine-C4:0	Serotonin-C2:0	Methionine-C4:0	Tyrosine-C2:0	Cadaverine-C8:0	Lysine-C5:0	5-methoxytryptamine-C2:0	Phenylalanine-C4:0	Tyramine-C6:0	L-DOPA-C2:0	Histidine-C5:0	Leucine-C7:0	N-acetylcadaverine-C7:0	Cadaverine-C10:0	Arginine-C5:0	Tryptophan-C3:0	Leucine-C9:4	Histamine-C10:0	Methionine-C9:4	Tyramine-C10:1	Tyramine-C10:0	Histamine-C12:0	Putrescine-C14:0	Putrescine-C16:0	Histamine-C15:0	Cadaverine-C16:0	Leucine-C14:0	Histamine-C16:0	Putrescine-C18:0	Valine-C16:0	Cadaverine-C18:0	Leucine-C16:0	Histamine-C18:2	Histamine-C18:1	Valine-C18:2	Spermidine-C16:0	Lysine-C16:0	Methionine-C16:0	Leucine-C18:2	Leucine-C18:1	Leucine-C18:1	Arginine-C15:0	Tyramine-C18:2	Tyramine-C18:1	Spermidine-C18:2	Lysine-C18:2	N-acetylcadaverine-C18:1	Spermidine-C18:1	Lysine-C18:1	Methionine-C18:2	Phenylalanine-C18:3	Phenylalanine-C18:2	Arginine-C18:1	Serotonin-C18:1	Arginine-C18:0	Tryptophan-C16:0	Tyrosine-C18:2	Tyrosine-C18:1	Tryptophan-C18:2	Tryptophan-C18:1	Serotonin-C20:0
p-values	0.05697663	0.7664107	0.89729928	0.19676569	0.00322046	0.60807048	0.47938458	0.06190649	0.00255508	0.56409606	0.65407099	0.86486921	0.93478567	0.3418496	0.86034064	0.25477412	0.27847316	0.6131237	0.27623044	0.81532905	0.3816224	0.41054488	0.19790355	0.44208963	0.06498456	0.92279224	0.76393821	0.21714315	0.84713783	0.48541792	0.07024268	0.42118301	0.14013396	0.02812736	0.04206451	0.23790581	0.90848793	0.74844331	0.14724375	0.31614238	0.71867592	0.04078193	0.39842803	0.40755981	0.32526516	0.02451997	0.18815642	0.26886332	0.59075884	0.37373475	0.5738025	0.21575274	0.37997388	0.05498532	0.59652659	0.64589242	0.06098668	0.10222799	0.57241897	0.6864695	0.53536189	0.66365303	0.29077042	0.25887872	0.26301731	0.91351568	0.69148297	0.34983992	0.39283875	0.68748066	0.0857489	0.83401721	0.94714374	0.31443288	0.98766077	0.05669239	0.03178661	0.00030023	0.1798568	0.29423504	0.42312847	0.2676244	0.36515008	0.56662526	0.71418784	0.09084951	0.64822193	0.73385793	0.45527822	0.72848993	0.14704616	0.34453664	0.57801991	0.96661633	0.10283181	0.98520436	0.30778282	0.1608204	0.1538725	0.02673992
adjusted p-values	0.43323037	0.89117524	0.97136025	0.68242605	0.10734868	0.8515607	0.78293213	0.43323037	0.10734868	0.85002928	0.87209465	0.95040572	0.97373507	0.72883317	0.95040572	0.71403373	0.71403373	0.8515607	0.71403373	0.93715983	0.72953185	0.72953185	0.68242605	0.74930446	0.43323037	0.97136025	0.89117524	0.70046177	0.95040572	0.78293213	0.43901675	0.72953185	0.64019023	0.43323037	0.43323037	0.71403373	0.97136025	0.89100394	0.64019023	0.71850542	0.88416618	0.43323037	0.72953185	0.72953185	0.72281146	0.43323037	0.68242605	0.71403373	0.8515607	0.72953185	0.85002928	0.70046177	0.72953185	0.43323037	0.8515607	0.87209465	0.43323037	0.51415903	0.85002928	0.87529489	0.84978078	0.87322767	0.71764645	0.71403373	0.71403373	0.97136025	0.87529489	0.72883317	0.72953185	0.87529489	0.50440528	0.94774683	0.97643684	0.71850542	0.98766077	0.43323037	0.43323037	0.0300229	0.68242605	0.71764645	0.72953185	0.71403373	0.72953185	0.85002928	0.88416618	0.50471952	0.87209465	0.88416618	0.75879704	0.88416618	0.64019023	0.72883317	0.85002928	0.98634319	0.51415903	0.98766077	0.71850542	0.64328162	0.64113543	0.43323037
P2_B4_Sample_x3148644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36778.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3_F9_Sample_x3162216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32753.883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11112.113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3161.678	0	0	0	0	0	0	0	0	0	0
P3_E11_Sample_X3164390	0	7285754.5	56366.36	0	4127803	18000000	44087.215	0	1174727.4	0	0	0	1286480.4	0	0	0	0	0	147416.94	248359.94	439136.28	0	250767.19	0	0	0	69907.04	0	99860.3	6284.764	0	0	0	209699.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12933.534	96328.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13544.959	0	0	0	0	0	0	0	0	0	2337.957	0	0	0	0	0	15409.153	0	0	0	0
P1_C6_Sample_X3167536	0	748497.3	23435.71	430104.22	0	929253.94	0	0	0	0	0	0	4303191.5	15022.806	0	0	87341.52	103817.89	0	466107.47	3504494.8	0	0	0	0	48189.88	0	0	0	0	0	0	6471.755	0	0	0	0	0	0	0	0	0	12015.907	0	0	0	0	0	0	32600	0	9073.724	0	0	0	0	0	0	0	0	0	6099.726	74809.3	0	0	8576.1455	0	0	0	0	0	0	0	34552.402	0	0	0	0	0	0	4483.686	0	0	0	0	0	0	0	0	1672.3718	0	0	0	0	0	0	0	0	0	0
P2_D4_Sample_X3152833	0	1340226.6	19059.285	223419.97	0	1847357.5	0	0	0	0	0	0	0	16943.041	0	0	132073	0	160161.12	222649.25	0	0	796046.7	0	0	0	91456.805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4133.08	0	0	0	0	0	0	27198.982	0	0	0	23066.557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P3_C10_Sample_X3155559	0	0	0	113007.13	0	0	0	0	377104.12	0	0	0	0	0	0	0	0	11206.391	0	60967.457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	992.3252	42025.766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11623.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2860.4365	0	0	0	0	0	0	0	0	5339.673	0	0	0	0	0	0	0	0	0	0
P2_G9_Sample_x3161641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319588.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113867.09	0	0	0	0	0	46655.383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8331.365	0	0	0	0	0	0	0	0	0	0	0	0	0	16977.07	0	0	0	0	0	0	0	0	0	3285.415	0	0	0	0	0	0	0	0	0	0
