Figure	N-acyl lipid	Study	USI sample	USI standard	Visualization link
Figure S5A	Histamine-C2:0	HNRC	mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:344	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:398	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:344&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:398
Figure S5A	Histamine-C3:0	HNRC	mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:429	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:474	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:429&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:474
Figure S5A	Histamine-C4:0	HNRC	mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:722	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:851	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:722&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:851
Figure S5A	Histamine-C5:0	HNRC	mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:1293	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1270	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:1293&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1270
Figure S5A	Histamine-C6:0	HNRC	mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC1:scan:1629	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1502	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC1:scan:1629&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1502
Figure S5A	Cadaverine-C2:0	HNRC	mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC2:scan:442	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC2:scan:395	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC2:scan:442&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC2:scan:395
Figure S5A	Cadaverine-C3:0	HNRC	mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC1:scan:559	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:542	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_D9_Sample_X3157299_100H2O_LC1:scan:559&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:542
Figure S5A	Cadaverine-C5:0	HNRC	mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:1405	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1364	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_G2_Sample_X3148765_100H2O_LC1:scan:1405&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1364
Figure S5A	Cadaverine-C6:0	HNRC	mzspec:MSV000095423:HNRC_P3_E10_Sample_x3137731_100H2O_LC1:scan:1670	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1678	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_E10_Sample_x3137731_100H2O_LC1:scan:1670&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1678
Figure S5A	Cadaverine-C7:0	HNRC	mzspec:MSV000095423:HNRC_P3_E10_Sample_x3137731_100H2O_LC1:scan:1875	mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1851	https://metabolomics-usi.gnps2.org/dashinterface/?usi1=mzspec:MSV000095423:HNRC_P3_E10_Sample_x3137731_100H2O_LC1:scan:1875&usi2=mzspec:MSV000095423:Reaction_mix_pool_all_100H2O_LC1:scan:1851
